"perguntaId";"QUANT_ENTIDADE_COMUM_TAG";"QUANT_TAG";"QUANT_ENTIDADE"
"1_898";0;3;0
"1_9993";0;2;2
"1_8701";0;5;0
"1_10002";0;1;0
"1_9988";0;2;0
"1_10012";0;1;0
"1_10009";0;5;20
"1_9991";1;4;4
"1_5668";0;3;0
"1_8499";0;4;0
"1_10022";0;2;0
"1_10026";0;4;0
"1_510";2;5;25
"1_10029";0;3;0
"1_2477";0;3;0
"1_10032";0;1;0
"1_10042";1;4;30
"1_10041";0;3;0
"1_10040";0;1;0
"1_10046";0;5;19
"1_10050";1;5;48
"1_10051";0;3;0
"1_10020";0;4;0
"1_1004";0;2;0
"1_10060";0;2;0
"1_10062";0;3;0
"1_10067";0;2;0
"1_1005";0;2;0
"1_10037";0;3;13
"1_10075";0;1;0
"1_8540";0;3;0
"1_9911";1;1;2
"1_10082";0;3;0
"1_10090";0;4;0
"1_10102";0;4;0
"1_992";0;3;3
"1_10120";0;3;0
"1_5587";0;2;0
"1_10125";0;2;0
"1_10109";0;4;0
"1_10135";0;1;0
"1_9830";0;2;0
"1_963";0;2;2
"1_10162";0;2;0
"1_10146";0;5;0
"1_10170";0;4;0
"1_10169";2;5;11
"1_10174";0;1;0
"1_10186";0;3;0
"1_10194";0;3;0
"1_1008";0;1;12
"1_10211";0;3;5
"1_10227";0;1;0
"1_10229";0;1;0
"1_9183";0;5;9
"1_10243";0;3;0
"1_10245";0;2;0
"1_10213";0;4;27
"1_9992";0;4;3
"1_10210";0;3;6
"1_10244";0;3;0
"1_10256";0;2;0
"1_10252";0;1;0
"1_10265";0;5;0
"1_10268";0;2;0
"1_10277";0;3;24
"1_10279";0;3;0
"1_10276";0;2;0
"1_10264";1;3;16
"1_10285";0;1;11
"1_10294";0;1;0
"1_1025";0;3;0
"1_10297";0;1;0
"1_10301";0;1;0
"1_10291";0;2;9
"1_10313";0;2;9
"1_10317";0;1;0
"1_10316";0;3;0
"1_10322";1;3;12
"1_10325";2;3;9
"1_10337";0;3;0
"1_10346";0;5;0
"1_10331";0;2;0
"1_10319";0;2;0
"1_10365";1;5;32
"1_10373";0;2;0
"1_10375";0;2;0
"1_10376";0;1;0
"1_10379";0;2;0
"1_10364";0;1;0
"1_10351";0;4;0
"1_1026";0;3;0
"1_10402";0;3;42
"1_10404";0;3;0
"1_10414";0;1;0
"1_10412";1;3;8
"1_10407";0;2;0
"1_1041";0;3;0
"1_10422";0;2;0
"1_10421";0;3;0
"1_1018";0;3;0
"1_10429";0;2;0
"1_10430";0;1;0
"1_10434";1;3;10
"1_10284";0;2;19
"1_10436";0;2;0
"1_10443";0;3;0
"1_10441";0;1;0
"1_10409";0;3;0
"1_10446";0;2;0
"1_10442";1;3;11
"1_10462";1;3;9
"1_10466";0;2;0
"1_10455";0;4;0
"1_1038";0;1;0
"1_10468";0;2;0
"1_10472";0;2;0
"1_10477";0;3;0
"1_10479";0;2;0
"1_10475";0;1;0
"1_10492";0;2;0
"1_417";1;3;21
"1_10497";0;3;0
"1_10500";0;1;0
"1_10493";1;2;16
"1_5589";0;3;0
"1_1051";0;3;0
"1_9941";0;1;0
"1_10515";0;1;0
"1_10527";0;2;0
"1_10531";0;1;0
"1_10530";0;1;0
"1_10523";0;2;0
"1_10522";1;3;24
"1_8554";0;2;9
"1_10539";0;2;0
"1_10544";2;4;29
"1_10550";0;2;0
"1_10551";0;3;0
"1_10562";0;2;0
"1_10548";0;1;0
"1_10565";0;5;0
"1_10557";0;3;0
"1_3278";0;1;0
"1_10549";0;2;0
"1_10579";0;4;0
"1_10583";0;3;0
"1_1057";0;2;0
"1_10602";0;1;0
"1_10615";0;3;0
"1_10619";0;1;0
"1_1062";0;2;26
"1_9338";0;2;0
"1_10599";0;2;0
"1_10584";0;1;0
"1_1064";0;2;0
"1_10656";0;1;0
"1_10645";0;1;17
"1_10651";0;1;11
"1_10664";0;2;0
"1_10662";0;2;0
"1_10675";0;1;0
"1_10683";0;1;0
"1_10684";0;2;0
"1_10696";0;2;0
"1_10692";0;3;0
"1_10688";0;4;0
"1_10707";0;1;0
"1_10710";0;2;0
"1_10643";1;4;18
"1_10717";0;4;0
"1_10720";0;2;0
"1_10722";0;1;0
"1_1072";0;5;0
"1_10737";0;2;0
"1_10744";0;3;0
"1_5170";0;2;0
"1_10742";0;2;12
"1_10746";0;4;0
"1_1070";0;1;23
"1_10764";1;5;55
"1_10762";0;2;0
"1_951";0;2;0
"1_10772";0;3;0
"1_10771";0;2;59
"1_10679";0;3;30
"1_10738";0;3;26
"1_10789";0;1;0
"1_10797";0;2;0
"1_1071";0;2;0
"1_10805";0;4;22
"1_10804";0;2;0
"1_10808";0;1;0
"1_10802";0;2;0
"1_10803";0;2;0
"1_10816";0;3;0
"1_10821";0;3;0
"1_10822";0;3;0
"1_10819";0;2;0
"1_10829";0;2;0
"1_10830";0;2;0
"1_10841";0;1;0
"1_10846";1;5;7
"1_10845";1;4;11
"1_10853";1;3;15
"1_10854";0;1;0
"1_10862";1;4;13
"1_10863";0;2;0
"1_1086";0;1;9
"1_10843";0;2;0
"1_10885";3;5;7
"1_10887";0;2;0
"1_10880";0;2;0
"1_10891";0;4;0
"1_10899";0;1;0
"1_10901";0;2;0
"1_1090";0;3;0
"1_10906";0;1;9
"1_10904";0;1;17
"1_10917";1;3;9
"1_7871";0;4;22
"1_10923";2;3;31
"1_10882";0;2;0
"1_10934";0;5;0
"1_10894";0;3;36
"1_1089";0;2;0
"1_10938";0;1;0
"1_10946";0;1;0
"1_10959";0;3;0
"1_10958";0;2;0
"1_10217";0;1;0
"1_2109";0;2;27
"1_10971";0;4;5
"1_10968";0;1;0
"1_1069";0;1;0
"1_10936";1;2;12
"1_10970";3;5;36
"1_10987";0;1;0
"1_10992";0;2;9
"1_546";0;1;0
"1_10905";0;2;0
"1_10999";0;2;0
"1_11009";0;1;0
"1_11011";0;1;36
"1_11015";0;2;2
"1_11014";0;3;9
"1_1101";0;1;0
"1_11038";0;1;0
"1_11045";0;2;0
"1_11013";0;4;11
"1_11049";0;4;0
"1_11051";0;1;0
"1_11043";0;2;0
"1_11059";0;2;0
"1_11028";0;3;0
"1_11044";0;3;0
"1_16";0;2;12
"1_11072";1;3;35
"1_11074";0;2;0
"1_11075";0;1;0
"1_1103";0;1;11
"1_11070";0;1;0
"1_2232";0;3;0
"1_9223";0;1;5
"1_11058";0;1;0
"1_11089";1;3;26
"1_11091";1;3;22
"1_1106";0;1;0
"1_11100";0;3;9
"1_11099";0;4;20
"1_11108";0;2;0
"1_11107";0;3;0
"1_11121";0;1;0
"1_11102";0;2;0
"1_11131";0;2;0
"1_11097";0;1;0
"1_11133";0;3;3
"1_11145";0;2;0
"1_11138";0;2;0
"1_11135";0;3;12
"1_11160";0;3;0
"1_11158";0;3;0
"1_11169";0;4;0
"1_11173";0;1;0
"1_11180";0;3;0
"1_11190";0;4;0
"1_11186";0;1;0
"1_11189";0;3;0
"1_11171";0;2;0
"1_11199";0;1;0
"1_11216";0;1;0
"1_11218";0;5;0
"1_11219";0;2;0
"1_11223";0;2;0
"1_1112";0;2;0
"1_11230";0;2;0
"1_11235";0;1;0
"1_11240";0;2;0
"1_11242";0;1;0
"1_11246";0;3;0
"1_11156";0;2;0
"1_11254";0;2;0
"1_11261";0;3;0
"1_169";1;3;39
"1_11270";0;4;0
"1_1126";0;2;0
"1_11263";0;2;0
"1_11276";0;2;0
"1_11266";0;1;0
"1_11268";0;1;0
"1_11244";0;2;0
"1_11291";0;2;10
"1_11317";0;2;0
"1_11313";0;2;0
"1_11326";0;2;0
"1_11328";0;2;0
"1_11330";0;3;0
"1_1134";1;3;20
"1_11343";0;2;0
"1_10986";0;4;0
"1_11357";0;3;0
"1_10380";0;3;0
"1_11361";0;3;0
"1_11373";0;2;0
"1_11377";0;3;0
"1_11383";0;5;7
"1_1130";0;1;16
"1_1099";0;1;0
"1_1100";0;1;0
"1_1133";0;2;0
"1_121";0;3;14
"1_1152";0;1;52
"1_1084";0;3;36
"1_1138";0;3;0
"1_1157";0;2;0
"1_1167";0;3;38
"1_1136";0;2;0
"1_931";0;1;0
"1_1170";1;4;30
"1_859";0;1;21
"1_1180";0;5;0
"1_6";1;3;22
"1_1074";0;1;0
"1_1188";0;3;0
"1_1181";0;2;8
"1_1164";0;3;10
"1_1186";1;3;30
"1_1217";0;1;0
"1_1216";0;1;0
"1_1220";0;3;29
"1_1224";0;1;0
"1_1228";0;1;22
"1_1176";0;1;14
"1_973";1;3;1
"1_1214";0;1;12
"1_11397";0;3;0
"1_11402";0;1;0
"1_1221";0;1;28
"1_1244";0;1;18
"1_175";0;1;0
"1_1254";0;2;17
"1_1242";0;2;0
"1_1259";1;2;19
"1_1208";0;3;0
"1_23";0;2;0
"1_1266";0;2;0
"1_1264";0;3;0
"1_1280";0;3;22
"1_1278";1;3;35
"1_1281";0;1;0
"1_1179";0;3;0
"1_9";0;1;0
"1_1247";0;2;18
"1_1027";0;3;0
"1_1304";0;1;0
"1_1310";0;3;0
"1_1294";0;2;0
"1_1314";0;1;0
"1_1317";0;2;0
"1_1289";0;2;0
"1_1326";0;3;0
"1_1328";0;2;20
"1_1311";0;2;0
"1_1336";0;2;0
"1_11323";2;4;35
"1_13415";0;1;0
"1_13412";0;2;0
"1_13418";0;1;0
"1_13425";0;4;0
"1_13430";0;2;16
"1_13444";0;2;0
"1_13446";0;3;0
"1_13440";0;3;0
"1_13433";1;2;10
"1_13448";0;3;27
"1_13432";2;4;49
"1_13459";0;1;0
"1_13472";0;2;9
"1_13471";0;1;8
"1_13476";0;3;0
"1_13479";0;1;0
"1_13468";0;1;0
"1_13475";0;2;0
"1_9427";0;3;0
"1_1348";0;4;0
"1_13489";0;2;7
"1_13470";0;4;0
"1_11217";0;3;0
"1_13486";0;2;5
"1_13502";0;1;0
"1_13454";0;3;19
"1_13501";0;3;28
"1_1350";0;2;0
"1_13509";2;4;9
"1_13520";1;4;13
"1_13518";0;4;0
"1_13523";0;3;0
"1_13525";0;3;0
"1_13536";1;4;11
"1_13506";0;1;0
"1_13542";0;2;0
"1_13546";0;2;0
"1_13551";0;2;7
"1_13547";0;1;0
"1_13556";0;5;0
"1_13562";0;2;0
"1_13566";0;2;0
"1_13565";0;3;0
"1_13569";0;1;0
"1_13584";0;1;0
"1_9774";0;2;0
"1_1198";2;2;38
"1_13591";0;1;0
"1_13595";0;2;0
"1_1345";0;2;0
"1_13608";0;4;0
"1_1352";0;3;0
"1_13607";0;4;0
"1_13606";0;2;0
"1_13625";0;1;0
"1_13631";0;1;0
"1_13610";0;1;0
"1_13574";0;2;0
"1_13641";1;3;26
"1_13645";0;1;0
"1_13651";0;1;0
"1_13643";0;1;0
"1_13648";0;2;0
"1_13660";0;2;0
"1_13664";0;5;0
"1_13669";0;1;0
"1_13673";0;3;0
"1_13628";0;2;20
"1_13665";0;5;0
"1_13680";0;4;0
"1_13675";0;4;41
"1_13687";0;1;0
"1_13695";0;5;0
"1_13700";0;5;0
"1_13707";0;1;9
"1_13672";0;3;0
"1_13703";0;3;0
"1_1372";0;4;0
"1_13729";0;4;0
"1_1371";0;3;0
"1_13745";0;5;0
"1_13740";0;2;0
"1_13735";0;3;0
"1_13713";0;2;0
"1_13766";0;2;0
"1_13785";0;3;0
"1_13792";0;2;0
"1_1375";0;3;0
"1_13801";0;1;0
"1_13803";0;2;0
"1_1362";0;3;0
"1_10945";1;4;60
"1_13825";0;2;0
"1_13834";0;5;0
"1_13823";0;3;28
"1_13756";1;3;48
"1_1382";0;2;0
"1_13848";0;3;0
"1_13699";0;3;0
"1_13864";0;2;0
"1_13870";0;3;0
"1_13846";0;5;0
"1_13832";0;3;0
"1_13831";0;5;0
"1_13714";0;3;0
"1_13879";0;3;7
"1_13858";0;3;0
"1_13883";0;1;0
"1_13886";0;1;0
"1_13893";0;1;0
"1_13904";0;2;0
"1_13783";1;3;14
"1_13910";0;1;0
"1_13908";0;4;0
"1_5099";0;3;0
