"ENTIDADE_TAG";"ENTIDADE_NAO_TAG"
"1_898";0;90
"1_9993";0;104
"1_8701";0;5
"1_10002";0;10
"1_9988";1;41
"1_10012";0;14
"1_10009";0;130
"1_9991";3;97
"1_5668";0;66
"1_8499";0;48
"1_10022";0;8
"1_10026";0;128
"1_510";2;253
"1_10029";0;45
"1_2477";1;35
"1_10032";0;10
"1_10042";1;135
"1_10041";0;12
"1_10040";0;26
"1_10046";1;319
"1_10050";1;209
"1_10051";0;54
"1_10020";0;4
"1_1004";0;26
"1_10060";0;66
"1_10062";2;82
"1_10067";0;8
"1_1005";1;13
"1_10037";0;102
"1_10075";0;0
"1_8540";0;120
"1_9911";1;20
"1_10082";1;47
"1_10090";2;206
"1_10102";0;80
"1_992";0;72
"1_10120";1;98
"1_5587";1;49
"1_10125";0;50
"1_10109";2;106
"1_10135";1;12
"1_9830";0;46
"1_963";2;158
"1_10162";1;47
"1_10146";0;215
"1_10170";1;51
"1_10169";2;68
"1_10174";0;2
"1_10186";0;171
"1_10194";1;32
"1_1008";1;42
"1_10211";0;12
"1_10227";0;29
"1_10229";0;35
"1_9183";0;55
"1_10243";0;69
"1_10245";0;14
"1_10213";0;120
"1_9992";1;135
"1_10210";0;48
"1_10244";1;86
"1_10256";0;38
"1_10252";0;38
"1_10265";0;165
"1_10268";0;58
"1_10277";0;45
"1_10279";1;53
"1_10276";1;143
"1_10264";1;68
"1_10285";0;23
"1_10294";0;4
"1_1025";0;93
"1_10297";0;14
"1_10301";0;23
"1_10291";0;50
"1_10313";0;62
"1_10317";0;11
"1_10316";2;88
"1_10322";1;83
"1_10325";2;67
"1_10337";1;125
"1_10346";0;60
"1_10331";0;56
"1_10319";1;33
"1_10365";1;134
"1_10373";0;18
"1_10375";0;40
"1_10376";0;19
"1_10379";0;30
"1_10364";0;24
"1_10351";0;24
"1_1026";0;69
"1_10402";0;228
"1_10404";0;48
"1_10414";0;43
"1_10412";1;62
"1_10407";1;51
"1_1041";1;32
"1_10422";1;49
"1_10421";1;23
"1_1018";0;3
"1_10429";0;24
"1_10430";0;37
"1_10434";1;128
"1_10284";0;66
"1_10436";0;8
"1_10443";1;41
"1_10441";0;24
"1_10409";0;60
"1_10446";1;59
"1_10442";1;29
"1_10462";1;23
"1_10466";0;18
"1_10455";0;116
"1_1038";0;31
"1_10468";0;48
"1_10472";1;25
"1_10477";0;21
"1_10479";2;46
"1_10475";0;4
"1_10492";0;36
"1_417";1;53
"1_10497";0;78
"1_10500";0;48
"1_10493";1;27
"1_5589";0;90
"1_1051";0;87
"1_9941";0;4
"1_10515";0;15
"1_10527";1;63
"1_10531";1;32
"1_10530";0;14
"1_10523";0;44
"1_10522";1;107
"1_8554";0;16
"1_10539";0;64
"1_10544";2;102
"1_10550";0;52
"1_10551";0;108
"1_10562";0;36
"1_10548";0;39
"1_10565";0;40
"1_10557";0;54
"1_3278";0;12
"1_10549";0;12
"1_10579";0;60
"1_10583";0;81
"1_1057";0;60
"1_10602";0;24
"1_10615";1;17
"1_10619";0;51
"1_1062";0;36
"1_9338";1;103
"1_10599";0;16
"1_10584";0;35
"1_1064";0;2
"1_10656";0;60
"1_10645";0;31
"1_10651";0;25
"1_10664";0;54
"1_10662";0;110
"1_10675";0;22
"1_10683";0;5
"1_10684";1;83
"1_10696";0;30
"1_10692";0;48
"1_10688";2;46
"1_10707";0;24
"1_10710";1;53
"1_10643";1;103
"1_10717";0;252
"1_10720";1;17
"1_10722";0;21
"1_1072";0;20
"1_10737";0;56
"1_10744";0;36
"1_5170";0;50
"1_10742";0;106
"1_10746";0;112
"1_1070";0;28
"1_10764";1;234
"1_10762";0;140
"1_951";0;48
"1_10772";0;0
"1_10771";0;92
"1_10679";0;69
"1_10738";0;123
"1_10789";0;30
"1_10797";0;64
"1_1071";1;49
"1_10805";1;167
"1_10804";0;78
"1_10808";0;9
"1_10802";0;60
"1_10803";1;45
"1_10816";1;65
"1_10821";0;165
"1_10822";1;116
"1_10819";0;34
"1_10829";0;38
"1_10830";1;51
"1_10841";0;24
"1_10846";1;64
"1_10845";1;75
"1_10853";1;47
"1_10854";1;34
"1_10862";1;71
"1_10863";0;26
"1_1086";0;19
"1_10843";2;42
"1_10885";3;132
"1_10887";0;10
"1_10880";0;0
"1_10891";0;44
"1_10899";0;11
"1_10901";2;50
"1_1090";1;131
"1_10906";0;16
"1_10904";1;38
"1_10917";2;91
"1_7871";0;116
"1_10923";2;85
"1_10882";0;140
"1_10934";1;119
"1_10894";0;126
"1_1089";0;30
"1_10938";0;36
"1_10946";0;9
"1_10959";0;93
"1_10958";0;44
"1_10217";0;0
"1_2109";0;72
"1_10971";0;28
"1_10968";0;24
"1_1069";0;3
"1_10936";1;39
"1_10970";3;107
"1_10987";0;20
"1_10992";0;60
"1_546";0;41
"1_10905";1;43
"1_10999";0;22
"1_11009";1;48
"1_11011";0;58
"1_11015";0;14
"1_11014";0;75
"1_1101";0;29
"1_11038";0;32
"1_11045";0;56
"1_11013";0;96
"1_11049";1;63
"1_11051";0;22
"1_11043";0;68
"1_11059";1;101
"1_11028";0;18
"1_11044";0;60
"1_16";0;58
"1_11072";1;128
"1_11074";0;20
"1_11075";0;16
"1_1103";0;65
"1_11070";0;22
"1_2232";0;39
"1_9223";0;16
"1_11058";0;0
"1_11089";1;44
"1_11091";1;41
"1_1106";1;10
"1_11100";0;27
"1_11099";0;84
"1_11108";1;139
"1_11107";0;141
"1_11121";1;17
"1_11102";1;43
"1_11131";0;48
"1_11097";0;8
"1_11133";0;9
"1_11145";0;16
"1_11138";0;24
"1_11135";0;81
"1_11160";0;63
"1_11158";2;28
"1_11169";0;80
"1_11173";0;46
"1_11180";0;30
"1_11190";0;168
"1_11186";0;15
"1_11189";0;60
"1_11171";1;13
"1_11199";0;13
"1_11216";0;27
"1_11218";1;134
"1_11219";0;46
"1_11223";0;12
"1_1112";1;1
"1_11230";2;102
"1_11235";0;19
"1_11240";0;58
"1_11242";0;43
"1_11246";1;23
"1_11156";1;23
"1_11254";0;2
"1_11261";0;3
"1_169";1;116
"1_11270";0;120
"1_1126";0;106
"1_11263";0;24
"1_11276";0;40
"1_11266";0;23
"1_11268";0;14
"1_11244";0;30
"1_11291";0;72
"1_11317";0;58
"1_11313";1;51
"1_11326";0;20
"1_11328";0;36
"1_11330";2;115
"1_1134";1;140
"1_11343";0;18
"1_10986";0;64
"1_11357";0;84
"1_10380";0;87
"1_11361";0;39
