"idText";"tipo";"score";"uri";"surface";"idUsuario";"comunidade";"votosPositivos";"votosNegativos"
"1_15390";"texto_pergunta";"0,21551801264286";"http://dbpedia.org/resource/Blood_serum";"blood";"1_3632";"BIO";"1";"0"
"1_5117";"titulo_pergunta";"0,222147077322006";"http://dbpedia.org/resource/Blood_doping";"blood";"1_1005";"BIO";"4";"0"
"1_8649";"texto_pergunta";"0,0908694341778755";"http://dbpedia.org/resource/Blood_serum";"blood";"1_948";"BIO";"4";"0"
"1_10639";"texto_resposta";"0,0573660023510456";"http://dbpedia.org/resource/Blood_serum";"blood";"1_806";"BIO";"3";"0"
"1_13535";"texto_resposta";"0,10584119707346";"http://dbpedia.org/resource/Blood_serum";"blood";"1_1320";"BIO";"5";"0"
"1_13535";"texto_resposta";"0,10584119707346";"http://dbpedia.org/resource/Blood_serum";"blood";"1_1320";"BIO";"5";"0"
"1_13557";"texto_resposta";"0,0704435110092163";"http://dbpedia.org/resource/Blood_serum";"blood";"1_1320";"BIO";"2";"0"
"1_13557";"texto_resposta";"0,0704435110092163";"http://dbpedia.org/resource/Blood_serum";"blood";"1_1320";"BIO";"2";"0"
"1_13557";"texto_resposta";"0,0704435110092163";"http://dbpedia.org/resource/Blood_serum";"blood";"1_1320";"BIO";"2";"0"
"1_14099";"texto_resposta";"0,139365926384926";"http://dbpedia.org/resource/Blood_serum";"blood";"1_3615";"BIO";"3";"0"
"1_15393";"texto_resposta";"0,0764192789793015";"http://dbpedia.org/resource/Blood_serum";"blood";"1_5144";"BIO";"5";"0"
"1_15393";"texto_resposta";"0,0764192789793015";"http://dbpedia.org/resource/Blood_serum";"blood";"1_5144";"BIO";"5";"0"
"1_15538";"texto_resposta";"0,0594078935682774";"http://dbpedia.org/resource/Blood_serum";"blood";"1_5754";"BIO";"3";"0"
"1_15970";"texto_resposta";"0,0616938769817352";"http://dbpedia.org/resource/Blood_serum";"blood";"1_3340";"BIO";"7";"0"
"1_16401";"texto_resposta";"0,264687418937683";"http://dbpedia.org/resource/Blood_serum";"blood";"1_1320";"BIO";"0";"0"
"1_16401";"texto_resposta";"0,264687418937683";"http://dbpedia.org/resource/Blood_serum";"blood";"1_1320";"BIO";"0";"0"
"1_16401";"texto_resposta";"0,264687418937683";"http://dbpedia.org/resource/Blood_serum";"blood";"1_1320";"BIO";"0";"0"
"1_2387";"texto_resposta";"0,0543657802045345";"http://dbpedia.org/resource/Blood_serum";"blood";"1_3632";"BIO";"4";"0"
"1_3011";"texto_resposta";"0,0865989774465561";"http://dbpedia.org/resource/Blood_serum";"blood";"1_740";"BIO";"1";"0"
"1_480";"texto_resposta";"0,125750288367271";"http://dbpedia.org/resource/Blood_serum";"blood";"1_107";"BIO";"7";"0"
"1_5542";"texto_resposta";"0,137982338666916";"http://dbpedia.org/resource/Blood_serum";"blood";"1_1320";"BIO";"3";"0"
"1_8652";"texto_resposta";"0,136700391769409";"http://dbpedia.org/resource/Blood_serum";"blood";"1_560";"BIO";"2";"0"
