"idText";"tipo";"score";"uri";"surface";"idUsuario";"comunidade";"votosPositivos";"votosNegativos"
"1_2213";"texto_pergunta";"0,126536831259727";"http://dbpedia.org/resource/Cancer";"cancer";"1_389";"BIO";"6";"0"
"1_2716";"titulo_pergunta";"0,106436230242252";"http://dbpedia.org/resource/Cancer";"cancer";"1_69";"BIO";"3";"0"
"1_2716";"texto_pergunta";"0,12380937486887";"http://dbpedia.org/resource/Cancer";"cancer";"1_69";"BIO";"3";"0"
"1_2716";"texto_pergunta";"0,12380937486887";"http://dbpedia.org/resource/Cancer";"cancer";"1_69";"BIO";"3";"0"
"1_5271";"titulo_pergunta";"0,162223190069199";"http://dbpedia.org/resource/Cancer";"cancer";"1_6";"BIO";"6";"0"
"1_5271";"texto_pergunta";"0,115560367703438";"http://dbpedia.org/resource/Cancer";"cancer";"1_6";"BIO";"6";"0"
"1_5271";"texto_pergunta";"0,115560367703438";"http://dbpedia.org/resource/Cancer";"cancer";"1_6";"BIO";"6";"0"
"1_5271";"texto_pergunta";"0,115560367703438";"http://dbpedia.org/resource/Cancer";"cancer";"1_6";"BIO";"6";"0"
"1_607";"texto_pergunta";"0,194244265556335";"http://dbpedia.org/resource/Cancer";"cancer";"1_28";"BIO";"14";"1"
"1_8766";"texto_pergunta";"0,188538521528244";"http://dbpedia.org/resource/Cancer";"cancer";"1_577";"BIO";"1";"0"
"1_10080";"texto_resposta";"0,0580958314239979";"http://dbpedia.org/resource/Cancer";"cancer";"1_4101";"BIO";"2";"0"
"1_10084";"texto_resposta";"0,198907598853111";"http://dbpedia.org/resource/Cancer";"cancer";"1_4101";"BIO";"2";"0"
"1_10084";"texto_resposta";"0,198907598853111";"http://dbpedia.org/resource/Cancer";"cancer";"1_4101";"BIO";"2";"0"
"1_10084";"texto_resposta";"0,198907598853111";"http://dbpedia.org/resource/Cancer";"cancer";"1_4101";"BIO";"2";"0"
"1_10084";"texto_resposta";"0,198907598853111";"http://dbpedia.org/resource/Cancer";"cancer";"1_4101";"BIO";"2";"0"
"1_10084";"texto_resposta";"0,198907598853111";"http://dbpedia.org/resource/Cancer";"cancer";"1_4101";"BIO";"2";"0"
"1_10084";"texto_resposta";"0,198907598853111";"http://dbpedia.org/resource/Cancer";"cancer";"1_4101";"BIO";"2";"0"
"1_10084";"texto_resposta";"0,198907598853111";"http://dbpedia.org/resource/Cancer";"cancer";"1_4101";"BIO";"2";"0"
"1_10084";"texto_resposta";"0,198907598853111";"http://dbpedia.org/resource/Cancer";"cancer";"1_4101";"BIO";"2";"0"
"1_10084";"texto_resposta";"0,198907598853111";"http://dbpedia.org/resource/Cancer";"cancer";"1_4101";"BIO";"2";"0"
"1_10084";"texto_resposta";"0,198907598853111";"http://dbpedia.org/resource/Cancer";"cancer";"1_4101";"BIO";"2";"0"
"1_10084";"texto_resposta";"0,198907598853111";"http://dbpedia.org/resource/Cancer";"cancer";"1_4101";"BIO";"2";"0"
"1_10091";"texto_resposta";"0,188721552491188";"http://dbpedia.org/resource/Cancer";"cancer";"1_4101";"BIO";"3";"0"
"1_10091";"texto_resposta";"0,188721552491188";"http://dbpedia.org/resource/Cancer";"cancer";"1_4101";"BIO";"3";"0"
"1_10126";"texto_resposta";"0,0745653286576271";"http://dbpedia.org/resource/Cancer";"cancer";"1_4101";"BIO";"5";"0"
"1_10302";"texto_resposta";"0,137822598218918";"http://dbpedia.org/resource/Cancer";"cancer";"1_3340";"BIO";"1";"0"
"1_10384";"texto_resposta";"0,179779872298241";"http://dbpedia.org/resource/Cancer";"cancer";"1_3632";"BIO";"1";"0"
"1_10384";"texto_resposta";"0,179779872298241";"http://dbpedia.org/resource/Cancer";"cancer";"1_3632";"BIO";"1";"0"
"1_10384";"texto_resposta";"0,179779872298241";"http://dbpedia.org/resource/Cancer";"cancer";"1_3632";"BIO";"1";"0"
"1_10384";"texto_resposta";"0,125622287392616";"http://dbpedia.org/resource/Cancer";"cancer";"1_3632";"BIO";"1";"0"
"1_10513";"texto_resposta";"0,132222011685371";"http://dbpedia.org/resource/Cancer";"cancer";"1_740";"BIO";"2";"0"
"1_10513";"texto_resposta";"0,132222011685371";"http://dbpedia.org/resource/Cancer";"cancer";"1_740";"BIO";"2";"0"
"1_10545";"texto_resposta";"0,0757012963294983";"http://dbpedia.org/resource/Cancer";"cancer";"1_4101";"BIO";"3";"0"
"1_10689";"texto_resposta";"0,0562334954738617";"http://dbpedia.org/resource/Cancer";"cancer";"1_1306";"BIO";"3";"0"
"1_11055";"texto_resposta";"0,207610040903091";"http://dbpedia.org/resource/Cancer";"cancer";"1_4101";"BIO";"2";"0"
"1_11055";"texto_resposta";"0,207610040903091";"http://dbpedia.org/resource/Cancer";"cancer";"1_4101";"BIO";"2";"0"
"1_11055";"texto_resposta";"0,207610040903091";"http://dbpedia.org/resource/Cancer";"cancer";"1_4101";"BIO";"2";"0"
"1_11055";"texto_resposta";"0,207610040903091";"http://dbpedia.org/resource/Cancer";"cancer";"1_4101";"BIO";"2";"0"
"1_11055";"texto_resposta";"0,207610040903091";"http://dbpedia.org/resource/Cancer";"cancer";"1_4101";"BIO";"2";"0"
"1_11079";"texto_resposta";"0,0745676681399345";"http://dbpedia.org/resource/Cancer";"cancer";"1_1306";"BIO";"6";"0"
"1_11079";"texto_resposta";"0,0745676681399345";"http://dbpedia.org/resource/Cancer";"cancer";"1_1306";"BIO";"6";"0"
"1_11248";"texto_resposta";"0,0847975462675095";"http://dbpedia.org/resource/Cancer";"cancer";"1_4101";"BIO";"3";"0"
"1_1197";"texto_resposta";"0,0702127143740654";"http://dbpedia.org/resource/Cancer";"cancer";"1_3632";"BIO";"6";"0"
"1_1268";"texto_resposta";"0,161895185709";"http://dbpedia.org/resource/Cancer";"cancer";"1_535";"BIO";"8";"0"
"1_1268";"texto_resposta";"0,161895185709";"http://dbpedia.org/resource/Cancer";"cancer";"1_535";"BIO";"8";"0"
"1_1325";"texto_resposta";"0,0472967699170113";"http://dbpedia.org/resource/Cancer";"cancer";"1_204";"BIO";"3";"0"
"1_14378";"texto_resposta";"0,192265674471855";"http://dbpedia.org/resource/Cancer";"cancer";"1_5144";"BIO";"1";"0"
"1_1440";"texto_resposta";"0,120421081781387";"http://dbpedia.org/resource/Cancer";"cancer";"1_535";"BIO";"7";"2"
"1_1440";"texto_resposta";"0,120421081781387";"http://dbpedia.org/resource/Cancer";"cancer";"1_535";"BIO";"7";"2"
"1_14761";"texto_resposta";"0,229222565889359";"http://dbpedia.org/resource/Cancer";"cancer";"1_5144";"BIO";"1";"0"
"1_14761";"texto_resposta";"0,229222565889359";"http://dbpedia.org/resource/Cancer";"cancer";"1_5144";"BIO";"1";"0"
"1_15203";"texto_resposta";"0,270472645759583";"http://dbpedia.org/resource/Cancer";"cancer";"1_1757";"BIO";"2";"0"
"1_15203";"texto_resposta";"0,270472645759583";"http://dbpedia.org/resource/Cancer";"cancer";"1_1757";"BIO";"2";"0"
"1_15203";"texto_resposta";"0,270472645759583";"http://dbpedia.org/resource/Cancer";"cancer";"1_1757";"BIO";"2";"0"
"1_15203";"texto_resposta";"0,270472645759583";"http://dbpedia.org/resource/Cancer";"cancer";"1_1757";"BIO";"2";"0"
