"idUsuario";"reputacao";"respostas";"perguntas";"comentariospergunta";"comentariosresposta";"comunidade"
"1_3632";"16659";"393";"19";"322";"441";"BIO"
"1_1320";"11735";"302";"0";"216";"168";"BIO"
"1_69";"6822";"68";"23";"182";"143";"BIO"
"1_430";"6271";"43";"10";"60";"136";"BIO"
"1_1306";"6041";"120";"12";"331";"212";"BIO"
"1_107";"5759";"76";"3";"155";"74";"BIO"
"1_1231";"5580";"106";"1";"61";"80";"BIO"
"1_4101";"5280";"129";"0";"69";"73";"BIO"
"1_115";"4850";"69";"4";"362";"341";"BIO"
"1_66";"4719";"58";"1";"27";"24";"BIO"
"1_5144";"4564";"141";"0";"190";"170";"BIO"
"1_6";"4392";"46";"18";"131";"29";"BIO"
"1_560";"4390";"94";"15";"117";"172";"BIO"
"1_28";"4283";"45";"23";"30";"65";"BIO"
"1_1590";"4270";"68";"18";"162";"153";"BIO"
"1_389";"4070";"52";"68";"122";"84";"BIO"
"1_806";"4027";"71";"21";"114";"98";"BIO"
"1_3340";"3916";"143";"9";"335";"178";"BIO"
"1_81";"3714";"26";"21";"44";"52";"BIO"
"1_4108";"3504";"85";"56";"163";"137";"BIO"
"1_307";"3361";"27";"70";"74";"40";"BIO"
"1_740";"3291";"50";"15";"66";"68";"BIO"
"1_535";"3207";"64";"0";"17";"36";"BIO"
"1_43";"3024";"32";"23";"49";"43";"BIO"
"1_112";"2913";"46";"3";"35";"23";"BIO"
"1_444";"2900";"44";"6";"27";"24";"BIO"
"1_1757";"2886";"102";"3";"7";"57";"BIO"
"1_166";"2816";"30";"2";"110";"99";"BIO"
"1_1122";"2757";"68";"6";"40";"52";"BIO"
"1_57";"2619";"29";"22";"126";"51";"BIO"
"1_948";"2605";"62";"5";"127";"59";"BIO"
"1_3615";"2379";"37";"200";"282";"193";"BIO"
"1_3952";"2361";"52";"8";"84";"61";"BIO"
"1_577";"2221";"10";"107";"32";"46";"BIO"
"1_3624";"2165";"58";"1";"152";"88";"BIO"
"1_72";"1977";"22";"0";"10";"35";"BIO"
"1_219";"1964";"22";"0";"2";"9";"BIO"
"1_2938";"1905";"35";"1";"10";"50";"BIO"
"1_3776";"1881";"28";"28";"71";"24";"BIO"
"1_3059";"1874";"46";"18";"99";"59";"BIO"
"1_177";"1874";"20";"3";"16";"20";"BIO"
"1_3971";"1856";"46";"12";"117";"61";"BIO"
"1_67";"1820";"25";"3";"14";"11";"BIO"
"1_12";"1730";"19";"1";"21";"8";"BIO"
"1_1136";"1628";"17";"0";"36";"21";"BIO"
"1_48";"1588";"20";"0";"3";"8";"BIO"
"1_1005";"1584";"0";"73";"45";"28";"BIO"
"1_239";"1565";"17";"0";"9";"16";"BIO"
"1_204";"1556";"18";"0";"6";"19";"BIO"
"1_5754";"1519";"30";"2";"14";"21";"BIO"
"1_25";"1505";"11";"8";"24";"11";"BIO"
"1_500";"1484";"16";"15";"35";"17";"BIO"
"1_231";"1431";"27";"0";"17";"29";"BIO"
"1_238";"1348";"4";"29";"21";"16";"BIO"
"1_338";"1335";"3";"29";"16";"15";"BIO"
"1_4168";"1317";"39";"0";"13";"12";"BIO"
"1_1441";"1316";"33";"0";"35";"30";"BIO"
"1_279";"1300";"7";"3";"8";"2";"BIO"
"1_68";"1274";"10";"3";"16";"25";"BIO"
"1_445";"1260";"10";"1";"0";"11";"BIO"
"1_137";"1256";"18";"5";"38";"26";"BIO"
"1_277";"1239";"9";"1";"0";"0";"BIO"
"1_84";"1228";"1";"12";"8";"6";"BIO"
"1_59";"1222";"12";"1";"8";"2";"BIO"
"1_184";"1214";"14";"2";"18";"12";"BIO"
"1_158";"1174";"5";"24";"8";"5";"BIO"
"1_3934";"1162";"18";"2";"15";"25";"BIO"
"1_5005";"1160";"16";"25";"45";"34";"BIO"
"1_653";"1140";"14";"0";"1";"6";"BIO"
"1_460";"1139";"21";"8";"58";"25";"BIO"
"1_86";"1135";"38";"163";"72";"72";"BIO"
"1_997";"1037";"16";"0";"7";"20";"BIO"
"1_4840";"1027";"22";"4";"32";"23";"BIO"
"1_4579";"1009";"36";"0";"14";"31";"BIO"
"1_62";"991";"0";"11";"1";"0";"BIO"
"1_103";"989";"0";"35";"14";"3";"BIO"
"1_185";"985";"3";"4";"6";"8";"BIO"
"1_203";"981";"5";"14";"4";"5";"BIO"
"1_1427";"974";"18";"3";"7";"19";"BIO"
"1_3053";"965";"22";"10";"10";"26";"BIO"
"1_4177";"931";"26";"0";"3";"9";"BIO"
"1_510";"905";"12";"1";"4";"17";"BIO"
"1_1813";"873";"4";"74";"20";"19";"BIO"
"1_810";"858";"4";"9";"24";"16";"BIO"
"1_223";"841";"7";"8";"8";"11";"BIO"
"1_1435";"826";"12";"0";"1";"9";"BIO"
"1_129";"814";"3";"4";"12";"15";"BIO"
"1_658";"809";"9";"29";"11";"9";"BIO"
"1_798";"790";"8";"3";"9";"6";"BIO"
"1_3460";"789";"24";"0";"3";"9";"BIO"
"1_34";"764";"8";"0";"0";"6";"BIO"
"1_1166";"761";"14";"0";"10";"9";"BIO"
"1_263";"758";"0";"18";"3";"2";"BIO"
"1_222";"746";"7";"5";"41";"23";"BIO"
"1_1097";"736";"9";"0";"0";"3";"BIO"
"1_368";"710";"8";"6";"6";"6";"BIO"
"1_9";"697";"4";"2";"0";"5";"BIO"
"1_3827";"686";"19";"1";"47";"21";"BIO"
"1_3631";"674";"19";"0";"44";"30";"BIO"
"1_31";"659";"3";"1";"0";"3";"BIO"
"1_575";"654";"2";"4";"0";"1";"BIO"
"1_3261";"631";"14";"0";"5";"1";"BIO"
"1_45";"623";"5";"1";"0";"1";"BIO"
"1_51";"617";"6";"1";"3";"7";"BIO"
"1_649";"616";"7";"1";"3";"5";"BIO"
"1_4199";"605";"22";"1";"14";"5";"BIO"
"1_852";"604";"16";"2";"10";"6";"BIO"
"1_251";"601";"6";"1";"0";"8";"BIO"
"1_1450";"594";"18";"5";"11";"6";"BIO"
"1_146";"590";"3";"18";"14";"20";"BIO"
"1_558";"583";"0";"24";"3";"7";"BIO"
"1_192";"583";"20";"0";"10";"10";"BIO"
"1_226";"582";"4";"6";"16";"4";"BIO"
"1_1916";"580";"8";"15";"15";"8";"BIO"
"1_1853";"578";"15";"1";"8";"7";"BIO"
"1_4216";"576";"21";"14";"8";"26";"BIO"
"1_5755";"571";"14";"0";"3";"11";"BIO"
"1_691";"568";"9";"1";"17";"14";"BIO"
"1_99";"566";"3";"2";"2";"4";"BIO"
"1_1763";"564";"7";"7";"2";"4";"BIO"
"1_1472";"561";"2";"22";"31";"21";"BIO"
"1_4547";"559";"16";"1";"6";"3";"BIO"
"1_973";"558";"14";"1";"5";"4";"BIO"
"1_1250";"554";"8";"0";"1";"3";"BIO"
"1_36";"552";"6";"0";"5";"5";"BIO"
"1_138";"546";"4";"1";"1";"3";"BIO"
"1_476";"540";"14";"3";"1";"3";"BIO"
"1_408";"517";"9";"18";"16";"41";"BIO"
"1_5771";"508";"16";"3";"5";"9";"BIO"
"1_3336";"502";"14";"0";"4";"16";"BIO"
"1_49";"501";"3";"0";"2";"7";"BIO"
"1_680";"497";"0";"14";"18";"3";"BIO"
"1_542";"496";"10";"1";"17";"13";"BIO"
"1_23";"493";"4";"2";"1";"0";"BIO"
"1_526";"491";"5";"1";"0";"1";"BIO"
"1_3553";"484";"2";"17";"12";"11";"BIO"
"1_149";"483";"2";"4";"0";"3";"BIO"
"1_5148";"481";"28";"0";"7";"10";"BIO"
"1_114";"478";"2";"1";"0";"2";"BIO"
"1_303";"474";"1";"0";"4";"7";"BIO"
"1_4228";"466";"7";"0";"3";"11";"BIO"
"1_584";"458";"6";"7";"1";"3";"BIO"
"1_4140";"458";"13";"1";"2";"4";"BIO"
"1_5922";"446";"11";"0";"5";"6";"BIO"
"1_1839";"433";"11";"0";"1";"3";"BIO"
"1_90";"428";"1";"4";"2";"1";"BIO"
"1_397";"424";"2";"1";"0";"4";"BIO"
"1_554";"422";"1";"18";"12";"34";"BIO"
"1_956";"421";"4";"0";"0";"1";"BIO"
"1_79";"421";"2";"1";"1";"6";"BIO"
"1_5369";"416";"11";"4";"13";"19";"BIO"
"1_787";"409";"4";"5";"1";"0";"BIO"
"1_340";"405";"2";"1";"2";"3";"BIO"
"1_759";"401";"1";"0";"0";"1";"BIO"
"1_1486";"401";"10";"0";"7";"7";"BIO"
"1_152";"393";"2";"5";"1";"7";"BIO"
"1_1917";"390";"6";"5";"11";"3";"BIO"
"1_1906";"387";"9";"7";"10";"3";"BIO"
"1_562";"386";"2";"0";"3";"2";"BIO"
"1_3394";"384";"6";"0";"2";"4";"BIO"
"1_3370";"383";"7";"0";"1";"4";"BIO"
"1_1325";"381";"6";"0";"0";"1";"BIO"
"1_1756";"380";"6";"1";"2";"2";"BIO"
"1_1688";"376";"7";"0";"2";"1";"BIO"
"1_96";"375";"3";"5";"3";"5";"BIO"
"1_154";"375";"3";"7";"19";"12";"BIO"
"1_3523";"374";"8";"5";"5";"9";"BIO"
"1_42";"373";"0";"4";"0";"2";"BIO"
"1_1827";"372";"0";"10";"8";"1";"BIO"
"1_5694";"369";"23";"0";"2";"7";"BIO"
"1_1373";"366";"0";"23";"10";"2";"BIO"
"1_3119";"361";"7";"1";"3";"4";"BIO"
"1_1357";"357";"5";"25";"18";"2";"BIO"
"1_752";"356";"7";"0";"7";"14";"BIO"
"1_4109";"352";"13";"0";"6";"21";"BIO"
"1_1303";"351";"5";"0";"0";"5";"BIO"
"1_126";"351";"1";"7";"1";"1";"BIO"
"1_4182";"351";"6";"0";"1";"12";"BIO"
"1_172";"348";"2";"7";"8";"12";"BIO"
"1_1210";"347";"8";"0";"2";"0";"BIO"
"1_466";"343";"1";"4";"2";"2";"BIO"
"1_819";"341";"5";"0";"1";"2";"BIO"
"1_1367";"339";"7";"1";"1";"6";"BIO"
"1_1597";"337";"3";"1";"1";"2";"BIO"
"1_3657";"336";"1";"25";"10";"15";"BIO"
"1_3384";"334";"6";"0";"3";"7";"BIO"
"1_1202";"331";"3";"3";"12";"4";"BIO"
"1_620";"331";"1";"0";"0";"0";"BIO"
"1_3578";"328";"4";"0";"1";"2";"BIO"
"1_673";"327";"0";"9";"14";"7";"BIO"
"1_1114";"325";"1";"5";"1";"1";"BIO"
"1_3032";"321";"8";"5";"1";"5";"BIO"
"1_1248";"318";"4";"1";"1";"3";"BIO"
"1_566";"318";"3";"2";"0";"2";"BIO"
"1_6043";"318";"3";"2";"0";"0";"BIO"
"1_205";"317";"1";"3";"4";"2";"BIO"
"1_1710";"315";"5";"7";"1";"6";"BIO"
"1_504";"313";"1";"3";"1";"3";"BIO"
"1_864";"313";"4";"2";"0";"1";"BIO"
"1_5392";"311";"4";"2";"8";"31";"BIO"
"1_5702";"309";"6";"0";"0";"3";"BIO"
"1_104";"308";"1";"1";"1";"1";"BIO"
"1_4551";"304";"10";"2";"7";"2";"BIO"
"1_1584";"304";"8";"11";"9";"16";"BIO"
"1_1182";"302";"4";"8";"5";"0";"BIO"
"1_3247";"300";"5";"7";"10";"8";"BIO"
"1_1300";"300";"7";"1";"11";"7";"BIO"
"1_87";"298";"3";"0";"3";"1";"BIO"
"1_1249";"296";"2";"3";"0";"2";"BIO"
"1_625";"293";"0";"8";"5";"2";"BIO"
"1_3465";"293";"6";"5";"4";"6";"BIO"
"1_3262";"292";"4";"1";"3";"7";"BIO"
"1_771";"290";"0";"7";"3";"3";"BIO"
"1_836";"289";"0";"3";"4";"1";"BIO"
"1_1667";"289";"0";"9";"6";"5";"BIO"
"1_938";"286";"1";"0";"1";"0";"BIO"
"1_3220";"286";"3";"0";"1";"0";"BIO"
"1_452";"284";"3";"0";"1";"3";"BIO"
"1_3824";"282";"7";"0";"3";"2";"BIO"
"1_953";"282";"4";"0";"2";"2";"BIO"
"1_611";"282";"0";"4";"0";"1";"BIO"
"1_1858";"282";"4";"0";"8";"18";"BIO"
"1_1307";"281";"4";"0";"1";"6";"BIO"
"1_1474";"278";"0";"7";"2";"1";"BIO"
"1_827";"278";"3";"3";"24";"10";"BIO"
"1_117";"276";"2";"3";"4";"7";"BIO"
"1_167";"276";"1";"0";"0";"0";"BIO"
"1_352";"275";"2";"5";"4";"5";"BIO"
"1_250";"273";"0";"4";"1";"2";"BIO"
"1_26";"272";"0";"1";"0";"1";"BIO"
"1_17";"269";"0";"9";"2";"2";"BIO"
"1_872";"265";"0";"2";"1";"2";"BIO"
"1_173";"265";"0";"2";"2";"1";"BIO"
"1_157";"263";"0";"1";"0";"0";"BIO"
"1_5018";"262";"4";"1";"1";"4";"BIO"
"1_6131";"261";"2";"0";"2";"7";"BIO"
"1_1083";"260";"0";"7";"1";"0";"BIO"
"1_711";"260";"1";"0";"5";"0";"BIO"
"1_44";"258";"0";"2";"0";"3";"BIO"
"1_1224";"258";"2";"5";"2";"2";"BIO"
"1_1517";"256";"5";"0";"0";"2";"BIO"
"1_1368";"256";"4";"9";"5";"10";"BIO"
"1_784";"255";"2";"3";"0";"3";"BIO"
"1_1039";"251";"0";"3";"2";"10";"BIO"
"1_696";"251";"4";"0";"2";"0";"BIO"
"1_1110";"250";"0";"7";"1";"2";"BIO"
"1_148";"250";"2";"2";"4";"3";"BIO"
"1_695";"248";"0";"3";"0";"1";"BIO"
"1_3395";"246";"1";"1";"1";"22";"BIO"
"1_498";"245";"0";"2";"1";"0";"BIO"
"1_4254";"243";"0";"12";"3";"6";"BIO"
"1_324";"243";"0";"2";"4";"2";"BIO"
"1_245";"242";"0";"3";"3";"6";"BIO"
"1_1099";"241";"2";"0";"0";"1";"BIO"
"1_423";"241";"0";"1";"0";"0";"BIO"
"1_3061";"241";"4";"0";"0";"2";"BIO"
"1_817";"241";"1";"2";"1";"1";"BIO"
"1_1772";"240";"0";"7";"6";"4";"BIO"
"1_61";"239";"0";"2";"0";"0";"BIO"
"1_393";"239";"0";"2";"2";"10";"BIO"
"1_1278";"237";"0";"12";"9";"12";"BIO"
"1_133";"236";"2";"1";"0";"3";"BIO"
"1_939";"236";"1";"0";"1";"0";"BIO"
"1_3533";"233";"3";"1";"3";"5";"BIO"
"1_1893";"233";"3";"1";"3";"0";"BIO"
"1_3037";"232";"2";"8";"8";"5";"BIO"
"1_3118";"232";"4";"8";"8";"3";"BIO"
"1_835";"231";"1";"3";"2";"3";"BIO"
"1_4821";"231";"12";"1";"8";"25";"BIO"
"1_92";"231";"3";"0";"0";"0";"BIO"
"1_1279";"230";"0";"6";"3";"2";"BIO"
"1_3751";"229";"0";"9";"2";"0";"BIO"
"1_327";"228";"0";"3";"3";"0";"BIO"
"1_540";"226";"4";"5";"11";"4";"BIO"
"1_3023";"226";"1";"0";"0";"0";"BIO"
"1_1536";"226";"3";"3";"3";"6";"BIO"
"1_1004";"226";"4";"1";"3";"6";"BIO"
"1_1765";"226";"1";"15";"7";"9";"BIO"
"1_602";"225";"0";"3";"4";"1";"BIO"
"1_866";"225";"0";"6";"3";"10";"BIO"
"1_1049";"223";"4";"1";"0";"1";"BIO"
"1_164";"223";"0";"1";"0";"0";"BIO"
"1_634";"223";"2";"0";"0";"0";"BIO"
"1_818";"221";"0";"4";"0";"0";"BIO"
"1_1167";"221";"1";"2";"1";"2";"BIO"
"1_3887";"220";"7";"0";"5";"3";"BIO"
"1_790";"219";"0";"5";"3";"6";"BIO"
"1_5032";"218";"2";"0";"0";"1";"BIO"
"1_839";"217";"0";"4";"7";"6";"BIO"
"1_609";"217";"2";"4";"2";"5";"BIO"
"1_1051";"217";"0";"4";"1";"2";"BIO"
"1_4427";"213";"2";"1";"0";"0";"BIO"
"1_1856";"213";"3";"1";"6";"7";"BIO"
"1_1289";"212";"1";"3";"1";"3";"BIO"
"1_1203";"212";"0";"4";"2";"0";"BIO"
"1_5283";"211";"4";"0";"0";"1";"BIO"
"1_5156";"211";"2";"0";"1";"3";"BIO"
"1_301";"211";"1";"2";"0";"1";"BIO"
"1_3401";"211";"2";"0";"1";"1";"BIO"
"1_1006";"211";"2";"1";"0";"2";"BIO"
"1_1156";"211";"3";"0";"0";"8";"BIO"
"1_629";"209";"1";"2";"0";"1";"BIO"
"1_1430";"208";"0";"2";"0";"0";"BIO"
"1_3970";"208";"3";"2";"7";"9";"BIO"
"1_570";"208";"1";"1";"0";"0";"BIO"
"1_586";"207";"0";"4";"7";"16";"BIO"
"1_1225";"206";"5";"0";"1";"0";"BIO"
"1_38";"206";"1";"0";"1";"0";"BIO"
"1_1283";"205";"0";"3";"2";"3";"BIO"
"1_1176";"204";"0";"2";"5";"3";"BIO"
"1_561";"203";"0";"8";"6";"8";"BIO"
"1_1855";"202";"2";"3";"6";"6";"BIO"
"1_29";"202";"1";"2";"0";"2";"BIO"
"1_724";"201";"0";"4";"2";"3";"BIO"
"1_349";"201";"3";"1";"1";"3";"BIO"
"1_5006";"200";"3";"0";"7";"2";"BIO"
"1_1086";"200";"0";"6";"1";"2";"BIO"
"1_237";"199";"2";"0";"0";"1";"BIO"
"1_1625";"198";"1";"1";"1";"2";"BIO"
"1_988";"198";"0";"5";"4";"3";"BIO"
"1_496";"198";"1";"3";"1";"1";"BIO"
"1_783";"197";"0";"3";"4";"4";"BIO"
"1_1838";"196";"1";"0";"0";"0";"BIO"
"1_1480";"196";"0";"2";"0";"0";"BIO"
"1_3241";"196";"1";"0";"0";"0";"BIO"
"1_4697";"195";"0";"3";"0";"3";"BIO"
