"id";"idOrigem";"reputacao";"nome"
"1_1001";"1001";"109";"maximus"
"1_1003";"1003";"131";"user774025"
"1_1004";"1004";"226";"Martin Beracochea"
"1_1005";"1005";"1584";"Everyone"
"1_1006";"1006";"211";"uvesten"
"1_101";"101";"113";"Jakob Weisblat"
"1_1010";"1010";"31";"russell11"
"1_1011";"1011";"134";"Popopo"
"1_1013";"1013";"11";"Nikita Kazeev"
"1_1014";"1014";"31";"Petra Rojinski"
"1_1015";"1015";"31";"Kunal"
"1_1016";"1016";"191";"Chris K"
"1_1017";"1017";"31";"Matt Smith"
"1_1019";"1019";"101";"deinonychusaur"
"1_1020";"1020";"121";"mellow"
"1_1021";"1021";"11";"RCRF"
"1_1026";"1026";"16";"Karen"
"1_1027";"1027";"21";"Bob"
"1_103";"103";"989";"InquilineKea"
"1_1030";"1030";"21";"PhD student"
"1_1031";"1031";"33";"Luke O'Cyte"
"1_1032";"1032";"89";"Justin Smith"
"1_1033";"1033";"141";"Louis"
"1_1034";"1034";"168";"Graviton"
"1_1038";"1038";"36";"c-design"
"1_1039";"1039";"251";"Green Noob"
"1_104";"104";"308";"Bruce Alderman"
"1_1040";"1040";"126";"Schiphol"
"1_1041";"1041";"44";"Frank"
"1_1043";"1043";"103";"David James"
"1_1045";"1045";"131";"Farrel"
"1_1048";"1048";"117";"isJustMe"
"1_1049";"1049";"223";"user4673"
"1_1050";"1050";"126";"Andrew Salmon"
"1_1051";"1051";"217";"ohblahitsme"
"1_1052";"1052";"6";"Sylvain Prat"
"1_1053";"1053";"17";"Janus"
"1_1055";"1055";"63";"Anand Jeyahar"
"1_1058";"1058";"106";"rubenvb"
"1_1059";"1059";"101";"Chimera"
"1_106";"106";"101";"Sam"
"1_1060";"1060";"81";"Thraupidae"
"1_1061";"1061";"190";"emanuele"
"1_1064";"1064";"128";"Chris Harris"
"1_1067";"1067";"154";"c0zmic"
"1_1068";"1068";"143";"Event Horizon"
"1_107";"107";"5759";"kmm"
"1_1070";"1070";"165";"Cerberus"
"1_1079";"1079";"123";"chuacw"
"1_1081";"1081";"133";"Shaktal"
"1_1083";"1083";"260";"Frank"
"1_1084";"1084";"41";"Alessandra Bilardi"
"1_1086";"1086";"200";"lurscher"
"1_1090";"1090";"6";"wish"
"1_1092";"1092";"148";"ClayKaboom"
"1_1095";"1095";"131";"Williham Totland"
"1_1096";"1096";"141";"Dubs"
"1_1097";"1097";"736";"DistribEcology"
"1_1098";"1098";"137";"Melanie"
"1_1099";"1099";"241";"Thaddeus"
"1_1105";"1105";"101";"Ruben"
"1_1107";"1107";"26";"user10037"
"1_111";"111";"101";"Shog9"
"1_1110";"1110";"250";"gpuguy"
"1_1113";"1113";"76";"Jodes"
"1_1114";"1114";"325";"Kal"
"1_1119";"1119";"24";"abhijit Bhattacharjee"
"1_112";"112";"2913";"Michael Kuhn"
"1_1122";"1122";"2757";"rwst"
"1_1123";"1123";"103";"Big Endian"
"1_1125";"1125";"183";"tunnuz"
"1_1126";"1126";"91";"Osjan"
"1_1127";"1127";"108";"bjarkef"
"1_1128";"1128";"106";"Dave Gerrard"
"1_1129";"1129";"101";"default locale"
"1_1130";"1130";"166";"Chase Yuan"
"1_1136";"1136";"1628";"TomD"
"1_114";"114";"478";"EdoDodo"
"1_1141";"1141";"130";"Pengyao"
"1_115";"115";"4850";"nico"
"1_1151";"1151";"101";"Nicola Peluchetti"
"1_1153";"1153";"131";"Barton Chittenden"
"1_1154";"1154";"116";"artaxerxe"
"1_1156";"1156";"211";"OldCurmudgeon"
"1_1157";"1157";"121";"mark"
"1_1158";"1158";"139";"Adolfo Perez"
"1_1161";"1161";"131";"mellamokb"
"1_1162";"1162";"6";"Daniel Bilar"
"1_1163";"1163";"43";"Benjamin Lindley"
"1_1164";"1164";"158";"Stilgar"
"1_1165";"1165";"133";"Mark"
"1_1166";"1166";"761";"jello"
"1_1167";"1167";"221";"josinalvo"
"1_1169";"1169";"108";"ZAB"
"1_117";"117";"276";"dsign"
"1_1171";"1171";"128";"mrok"
"1_1172";"1172";"115";"barrycarter"
"1_1174";"1174";"103";"Stuart Pegg"
"1_1175";"1175";"38";"Samrat Roy"
"1_1176";"1176";"204";"Chirag"
"1_1182";"1182";"302";"Orcris"
"1_1185";"1185";"36";"Jari Komppa"
"1_1186";"1186";"121";"Aditya Chawla"
"1_1187";"1187";"16";"DBR"
"1_1190";"1190";"169";"Uri"
"1_1191";"1191";"51";"Francis Wolfe"
"1_1192";"1192";"136";"Ste"
"1_1193";"1193";"34";"Vincent L."
"1_1197";"1197";"183";"Darlingtonia"
"1_1198";"1198";"121";"Tom H"
