"idText";"tipo";"score";"uri";"surface";"idUsuario";"comunidade";"votosPositivos";"votosNegativos"
"1_10050";"texto_pergunta";"0,0839548110961914";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_4108";"BIO";"5";"0"
"1_1008";"texto_pergunta";"0,126889497041702";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_81";"BIO";"8";"0"
"1_10322";"texto_pergunta";"0,141326412558556";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_3615";"BIO";"1";"1"
"1_10402";"titulo_pergunta";"0,128212347626686";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_4108";"BIO";"2";"0"
"1_10402";"texto_pergunta";"0,0633501186966896";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_4108";"BIO";"2";"0"
"1_10434";"texto_pergunta";"0,131246373057365";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_3615";"BIO";"1";"0"
"1_1045";"texto_pergunta";"0,146261051297188";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_307";"BIO";"12";"0"
"1_10645";"texto_pergunta";"0,169105231761932";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_3615";"BIO";"1";"0"
"1_10805";"texto_pergunta";"0,107088424265385";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_4108";"BIO";"1";"0"
"1_11237";"texto_pergunta";"0,10815791040659";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_4108";"BIO";"8";"0"
"1_11250";"texto_pergunta";"0,125170320272446";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_4108";"BIO";"5";"0"
"1_1130";"texto_pergunta";"0,0974555015563965";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_81";"BIO";"8";"0"
"1_11400";"texto_pergunta";"0,151537865400314";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_4108";"BIO";"3";"1"
"1_11400";"texto_pergunta";"0,151537865400314";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_4108";"BIO";"3";"1"
"1_11400";"texto_pergunta";"0,124521471560001";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_4108";"BIO";"3";"1"
"1_11400";"texto_pergunta";"0,151537865400314";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_4108";"BIO";"3";"1"
"1_1152";"texto_pergunta";"0,134455129504204";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_389";"BIO";"12";"0"
"1_13756";"texto_pergunta";"0,207346305251122";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_3776";"BIO";"3";"0"
"1_13756";"texto_pergunta";"0,169995486736298";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_3776";"BIO";"3";"0"
"1_13853";"texto_pergunta";"0,144628927111626";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_4108";"BIO";"5";"2"
"1_13853";"texto_pergunta";"0,144628927111626";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_4108";"BIO";"5";"2"
"1_14098";"texto_pergunta";"0,129544138908386";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_3615";"BIO";"2";"0"
"1_14168";"texto_pergunta";"0,0809434577822685";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_4108";"BIO";"1";"0"
"1_14168";"texto_pergunta";"0,0809434577822685";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_4108";"BIO";"1";"0"
"1_14168";"texto_pergunta";"0,0809434577822685";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_4108";"BIO";"1";"0"
"1_14168";"texto_pergunta";"0,0809434577822685";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_4108";"BIO";"1";"0"
"1_14168";"texto_pergunta";"0,0809434577822685";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_4108";"BIO";"1";"0"
"1_14168";"texto_pergunta";"0,0809434577822685";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_4108";"BIO";"1";"0"
"1_14168";"texto_pergunta";"0,0809434577822685";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_4108";"BIO";"1";"0"
"1_14168";"texto_pergunta";"0,0809434577822685";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_4108";"BIO";"1";"0"
"1_14168";"texto_pergunta";"0,0809434577822685";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_4108";"BIO";"1";"0"
"1_14168";"texto_pergunta";"0,0809434577822685";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_4108";"BIO";"1";"0"
"1_14168";"texto_pergunta";"0,0809434577822685";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_4108";"BIO";"1";"0"
"1_14168";"texto_pergunta";"0,0809434577822685";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_4108";"BIO";"1";"0"
"1_14168";"texto_pergunta";"0,0809434577822685";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_4108";"BIO";"1";"0"
"1_14168";"texto_pergunta";"0,0809434577822685";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_4108";"BIO";"1";"0"
"1_14168";"texto_pergunta";"0,0809434577822685";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_4108";"BIO";"1";"0"
"1_14168";"texto_pergunta";"0,0809434577822685";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_4108";"BIO";"1";"0"
"1_14168";"texto_pergunta";"0,0809434577822685";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_4108";"BIO";"1";"0"
"1_14168";"texto_pergunta";"0,0809434577822685";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_4108";"BIO";"1";"0"
"1_14168";"texto_pergunta";"0,0809434577822685";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_4108";"BIO";"1";"0"
"1_14168";"texto_pergunta";"0,0809434577822685";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_4108";"BIO";"1";"0"
"1_14217";"texto_pergunta";"0,0473942682147026";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_3776";"BIO";"6";"0"
"1_14217";"texto_pergunta";"0,0473942682147026";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_3776";"BIO";"6";"0"
"1_14275";"texto_pergunta";"0,051811046898365";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_3776";"BIO";"4";"0"
"1_14347";"texto_pergunta";"0,119483098387718";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_1590";"BIO";"8";"0"
"1_14607";"titulo_pergunta";"0,146311894059181";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_577";"BIO";"1";"1"
"1_14668";"titulo_pergunta";"0,14305505156517";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_3615";"BIO";"2";"0"
"1_14668";"texto_pergunta";"0,101107753813267";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_3615";"BIO";"2";"0"
"1_14831";"texto_pergunta";"0,246162474155426";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_4108";"BIO";"2";"0"
"1_14831";"texto_pergunta";"0,167722761631012";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_4108";"BIO";"2";"0"
"1_14864";"texto_pergunta";"0,109716467559338";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_4108";"BIO";"4";"0"
"1_1488";"texto_pergunta";"0,135666489601135";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_81";"BIO";"9";"1"
"1_15011";"titulo_pergunta";"0,117239207029343";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_1590";"BIO";"1";"0"
"1_15038";"texto_pergunta";"0,138532012701035";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_4108";"BIO";"1";"0"
"1_15160";"texto_pergunta";"0,160578608512878";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_4108";"BIO";"3";"0"
"1_15160";"texto_pergunta";"0,22791588306427";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_4108";"BIO";"3";"0"
"1_15160";"texto_pergunta";"0,22791588306427";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_4108";"BIO";"3";"0"
"1_15526";"texto_pergunta";"0,0963494032621384";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_3340";"BIO";"3";"0"
"1_15526";"texto_pergunta";"0,0963494032621384";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_3340";"BIO";"3";"0"
"1_15634";"texto_pergunta";"0,117201566696167";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_4108";"BIO";"2";"0"
"1_16041";"texto_pergunta";"0,0530957244336605";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_577";"BIO";"3";"0"
"1_1899";"texto_pergunta";"0,170047134160995";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_307";"BIO";"7";"0"
"1_1911";"texto_pergunta";"0,194000020623207";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_69";"BIO";"10";"0"
"1_193";"texto_pergunta";"0,118718937039375";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_57";"BIO";"16";"1"
"1_1994";"texto_pergunta";"0,0926182568073273";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_307";"BIO";"8";"0"
"1_2022";"texto_pergunta";"0,0649083480238914";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_806";"BIO";"14";"0"
"1_2087";"titulo_pergunta";"0,0969775542616844";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_307";"BIO";"10";"0"
"1_2087";"texto_pergunta";"0,107438646256924";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_307";"BIO";"10";"0"
"1_2122";"texto_pergunta";"0,0816460400819778";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_307";"BIO";"6";"1"
"1_2293";"texto_pergunta";"0,121997557580471";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_740";"BIO";"13";"0"
"1_2463";"texto_pergunta";"0,0876337289810181";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_577";"BIO";"5";"0"
"1_2934";"texto_pergunta";"0,0840256437659264";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_307";"BIO";"15";"0"
"1_2951";"texto_pergunta";"0,155325397849083";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_740";"BIO";"6";"0"
"1_2951";"texto_pergunta";"0,155325397849083";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_740";"BIO";"6";"0"
"1_3105";"titulo_pergunta";"0,0912118554115295";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_43";"BIO";"11";"0"
"1_3105";"texto_pergunta";"0,202302351593971";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_43";"BIO";"11";"0"
"1_3105";"texto_pergunta";"0,202302351593971";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_43";"BIO";"11";"0"
"1_3105";"texto_pergunta";"0,158154025673866";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_43";"BIO";"11";"0"
"1_3105";"texto_pergunta";"0,202302351593971";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_43";"BIO";"11";"0"
"1_3399";"texto_pergunta";"0,153986170887947";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_1005";"BIO";"2";"0"
"1_3764";"titulo_pergunta";"0,125027537345886";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_307";"BIO";"2";"0"
"1_3764";"texto_pergunta";"0,162427946925163";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_307";"BIO";"2";"0"
"1_3767";"texto_pergunta";"0,169488117098808";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_307";"BIO";"2";"0"
"1_3769";"titulo_pergunta";"0,142697304487228";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_307";"BIO";"3";"0"
"1_3769";"texto_pergunta";"0,0760053023695946";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_307";"BIO";"3";"0"
"1_3771";"texto_pergunta";"0,21047268807888";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_307";"BIO";"4";"0"
"1_3771";"texto_pergunta";"0,21047268807888";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_307";"BIO";"4";"0"
"1_3771";"texto_pergunta";"0,21047268807888";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_307";"BIO";"4";"0"
"1_3771";"texto_pergunta";"0,21047268807888";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_307";"BIO";"4";"0"
"1_3789";"texto_pergunta";"0,0531242899596691";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_740";"BIO";"2";"0"
"1_3789";"texto_pergunta";"0,0531242899596691";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_740";"BIO";"2";"0"
"1_3789";"texto_pergunta";"0,0531242899596691";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_740";"BIO";"2";"0"
"1_3789";"texto_pergunta";"0,0531242899596691";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_740";"BIO";"2";"0"
"1_487";"titulo_pergunta";"0,207883283495903";"http://dbpedia.org/resource/Evolution";"evolutionary";"1_66";"BIO";"11";"2"
