"entity";"totalTeoricoRecomendado";"usuario";"totalResposta";"somaUp";"somaDown"
"bacteria";"47";"1_3632";"28";"99";"1"
"bacteria";"47";"1_4168";"4";"10";"0"
"bacteria";"47";"1_115";"1";"16";"0"
"bacteria";"47";"1_4579";"1";"0";"1"
"bacteria";"47";"1_740";"1";"3";"0"
"bacteria";"47";"1_1320";"22";"72";"1"
"bacteria";"47";"1_560";"9";"27";"0"
"bacteria";"47";"1_4101";"3";"14";"0"
"bacteria";"47";"1_389";"7";"29";"0"
"bacteria";"47";"1_535";"5";"34";"0"
"bacteria";"47";"1_5144";"15";"29";"0"
"bacteria";"47";"1_5754";"2";"7";"0"
"bacteria";"47";"1_1757";"5";"26";"0"
"bacteria";"47";"1_28";"5";"36";"1"
"bacteria";"47";"1_3340";"9";"23";"0"
"bacteria";"47";"1_806";"3";"6";"0"
"bacteria";"47";"1_66";"5";"46";"0"
"bacteria";"47";"1_1306";"3";"8";"0"
"bacteria";"47";"1_1122";"6";"18";"1"
"bacteria";"47";"1_1231";"5";"19";"1"
"bacteria";"47";"1_67";"6";"42";"0"
"bacteria";"47";"1_231";"2";"10";"0"
"bacteria";"47";"1_948";"8";"29";"0"
"bacteria";"47";"1_1441";"2";"14";"0"
"bacteria";"47";"1_69";"1";"2";"0"
"bacteria";"47";"1_430";"4";"46";"1"
"bacteria";"47";"1_3971";"3";"16";"0"
"bacteria";"47";"1_112";"2";"16";"0"
"bacteria";"47";"1_4108";"2";"7";"1"
"bacteria";"47";"1_1590";"1";"3";"0"
"bacteria";"47";"1_5148";"3";"4";"0"
"bacteria";"47";"1_86";"3";"1";"0"
"bacteria";"47";"1_3615";"1";"0";"0"
"bacteria";"47";"1_5694";"1";"1";"0"
"bacteria";"47";"1_81";"2";"17";"0"
"bacteria";"47";"1_166";"1";"3";"0"
"bacteria";"47";"1_444";"2";"1";"0"
"bacteria";"47";"1_3053";"1";"1";"0"
"bacteria";"47";"1_107";"1";"15";"0"
"bacteria";"47";"1_2938";"1";"3";"0"
