"entity";"totalTeoricoRecomendado";"usuario";"totalResposta";"somaUp";"somaDown"
"brain";"42";"1_57";"4";"16";"0"
"brain";"42";"1_1320";"6";"17";"0"
"brain";"42";"1_3460";"4";"12";"0"
"brain";"42";"1_4579";"2";"4";"0"
"brain";"42";"1_307";"2";"4";"0"
"brain";"42";"1_3632";"14";"40";"1"
"brain";"42";"1_5694";"5";"4";"0"
"brain";"42";"1_231";"3";"12";"0"
"brain";"42";"1_115";"7";"63";"0"
"brain";"42";"1_740";"5";"13";"0"
"brain";"42";"1_444";"4";"26";"0"
"brain";"42";"1_1231";"5";"10";"1"
"brain";"42";"1_1122";"1";"3";"0"
"brain";"42";"1_107";"1";"7";"0"
"brain";"42";"1_560";"4";"13";"0"
"brain";"42";"1_66";"4";"34";"0"
"brain";"42";"1_3059";"7";"20";"0"
"brain";"42";"1_6";"1";"12";"0"
"brain";"42";"1_1757";"7";"14";"0"
"brain";"42";"1_4101";"5";"8";"0"
"brain";"42";"1_4168";"1";"1";"1"
"brain";"42";"1_3340";"2";"0";"0"
"brain";"42";"1_948";"1";"2";"0"
"brain";"42";"1_4108";"1";"1";"0"
"brain";"42";"1_535";"2";"8";"0"
"brain";"42";"1_806";"3";"18";"1"
"brain";"42";"1_430";"1";"11";"0"
"brain";"42";"1_1306";"2";"10";"0"
"brain";"42";"1_3053";"2";"3";"0"
"brain";"42";"1_1441";"2";"3";"0"
"brain";"42";"1_112";"1";"2";"0"
"brain";"42";"1_81";"2";"15";"0"
"brain";"42";"1_69";"1";"4";"0"
"brain";"42";"1_1590";"1";"2";"0"
