"entity";"totalTeoricoRecomendado";"usuario";"totalResposta";"somaUp";"somaDown"
"cancer";"30";"1_4101";"2";"5";"0"
"cancer";"30";"1_5148";"1";"3";"0"
"cancer";"30";"1_5144";"5";"5";"0"
"cancer";"30";"1_740";"4";"31";"0"
"cancer";"30";"1_1757";"4";"6";"0"
"cancer";"30";"1_3632";"4";"11";"0"
"cancer";"30";"1_948";"3";"6";"0"
"cancer";"30";"1_1231";"4";"21";"0"
"cancer";"30";"1_307";"1";"3";"0"
"cancer";"30";"1_66";"2";"15";"0"
"cancer";"30";"1_3340";"2";"5";"0"
"cancer";"30";"1_1320";"2";"6";"0"
"cancer";"30";"1_107";"1";"1";"0"
"cancer";"30";"1_1590";"2";"7";"0"
"cancer";"30";"1_1306";"4";"12";"0"
"cancer";"30";"1_4579";"1";"1";"0"
"cancer";"30";"1_115";"1";"6";"0"
"cancer";"30";"1_69";"1";"9";"0"
"cancer";"30";"1_86";"1";"2";"0"
"cancer";"30";"1_535";"1";"8";"0"
"cancer";"30";"1_3059";"1";"1";"0"
"cancer";"30";"1_1441";"1";"3";"0"
