"entity";"totalTeoricoRecomendado";"usuario";"totalResposta";"somaUp";"somaDown"
"chromosomes";"40";"1_444";"1";"9";"0"
"chromosomes";"40";"1_5148";"2";"4";"0"
"chromosomes";"40";"1_1320";"9";"22";"0"
"chromosomes";"40";"1_4579";"2";"4";"0"
"chromosomes";"40";"1_560";"1";"3";"1"
"chromosomes";"40";"1_307";"1";"4";"0"
"chromosomes";"40";"1_430";"3";"23";"0"
"chromosomes";"40";"1_86";"1";"1";"0"
"chromosomes";"40";"1_3632";"9";"21";"0"
"chromosomes";"40";"1_1122";"1";"8";"1"
"chromosomes";"40";"1_43";"2";"6";"0"
"chromosomes";"40";"1_535";"1";"1";"0"
"chromosomes";"40";"1_3059";"5";"8";"0"
"chromosomes";"40";"1_231";"2";"6";"0"
"chromosomes";"40";"1_112";"1";"2";"0"
"chromosomes";"40";"1_1306";"2";"5";"0"
"chromosomes";"40";"1_3971";"1";"1";"0"
"chromosomes";"40";"1_4101";"2";"5";"0"
"chromosomes";"40";"1_3615";"2";"5";"0"
"chromosomes";"40";"1_4108";"3";"5";"0"
"chromosomes";"40";"1_3776";"3";"9";"0"
"chromosomes";"40";"1_1441";"2";"8";"0"
"chromosomes";"40";"1_5144";"2";"5";"0"
"chromosomes";"40";"1_3340";"6";"9";"0"
"chromosomes";"40";"1_28";"1";"2";"0"
"chromosomes";"40";"1_5754";"1";"2";"0"
"chromosomes";"40";"1_115";"3";"28";"0"
"chromosomes";"40";"1_166";"1";"15";"0"
"chromosomes";"40";"1_740";"1";"3";"0"
"chromosomes";"40";"1_1231";"1";"14";"0"
"chromosomes";"40";"1_1590";"1";"8";"0"
"chromosomes";"40";"1_806";"1";"1";"0"
"chromosomes";"40";"1_1757";"1";"3";"0"
