"entity";"totalTeoricoRecomendado";"usuario";"totalResposta";"somaUp";"somaDown"
"dna";"45";"1_4168";"2";"6";"0"
"dna";"45";"1_3340";"20";"33";"0"
"dna";"45";"1_4101";"9";"31";"0"
"dna";"45";"1_1306";"23";"87";"0"
"dna";"45";"1_3971";"1";"7";"0"
"dna";"45";"1_6";"11";"78";"1"
"dna";"45";"1_4177";"2";"2";"0"
"dna";"45";"1_3632";"38";"155";"1"
"dna";"45";"1_389";"10";"51";"1"
"dna";"45";"1_560";"12";"25";"0"
"dna";"45";"1_307";"3";"22";"0"
"dna";"45";"1_5144";"18";"45";"0"
"dna";"45";"1_231";"5";"22";"0"
"dna";"45";"1_5148";"5";"4";"0"
"dna";"45";"1_1320";"32";"93";"1"
"dna";"45";"1_1757";"5";"13";"0"
"dna";"45";"1_5754";"5";"19";"0"
"dna";"45";"1_2938";"7";"32";"0"
"dna";"45";"1_115";"7";"63";"0"
"dna";"45";"1_3624";"1";"3";"0"
"dna";"45";"1_43";"10";"55";"2"
"dna";"45";"1_4108";"4";"15";"0"
"dna";"45";"1_4579";"2";"8";"0"
"dna";"45";"1_535";"5";"40";"1"
"dna";"45";"1_444";"6";"17";"0"
"dna";"45";"1_806";"8";"20";"0"
"dna";"45";"1_740";"5";"21";"0"
"dna";"45";"1_66";"4";"40";"0"
"dna";"45";"1_166";"7";"60";"0"
"dna";"45";"1_3059";"4";"15";"0"
"dna";"45";"1_1441";"7";"17";"0"
"dna";"45";"1_3053";"6";"18";"0"
"dna";"45";"1_3615";"3";"7";"0"
"dna";"45";"1_81";"2";"26";"0"
"dna";"45";"1_1590";"3";"7";"0"
"dna";"45";"1_948";"6";"17";"0"
"dna";"45";"1_112";"3";"10";"0"
"dna";"45";"1_3460";"1";"1";"0"
"dna";"45";"1_1231";"4";"23";"0"
"dna";"45";"1_28";"5";"33";"0"
"dna";"45";"1_3776";"1";"3";"0"
"dna";"45";"1_1122";"4";"14";"1"
"dna";"45";"1_430";"2";"8";"0"
"dna";"45";"1_69";"2";"17";"1"
