"entity";"totalTeoricoRecomendado";"usuario";"totalResposta";"somaUp";"somaDown"
"enzymes";"39";"1_3632";"8";"22";"0"
"enzymes";"39";"1_4101";"1";"4";"0"
"enzymes";"39";"1_3340";"11";"14";"0"
"enzymes";"39";"1_3971";"1";"1";"0"
"enzymes";"39";"1_389";"7";"37";"0"
"enzymes";"39";"1_4579";"3";"2";"0"
"enzymes";"39";"1_5144";"8";"16";"0"
"enzymes";"39";"1_444";"2";"20";"0"
"enzymes";"39";"1_1122";"3";"14";"1"
"enzymes";"39";"1_560";"5";"10";"0"
"enzymes";"39";"1_1306";"1";"2";"0"
"enzymes";"39";"1_1320";"19";"51";"0"
"enzymes";"39";"1_3059";"2";"11";"0"
"enzymes";"39";"1_86";"2";"2";"0"
"enzymes";"39";"1_948";"4";"4";"0"
"enzymes";"39";"1_3615";"3";"3";"0"
"enzymes";"39";"1_4168";"1";"4";"0"
"enzymes";"39";"1_6";"1";"8";"0"
"enzymes";"39";"1_535";"3";"14";"0"
"enzymes";"39";"1_430";"1";"3";"0"
"enzymes";"39";"1_1757";"1";"0";"0"
"enzymes";"39";"1_5694";"1";"1";"0"
"enzymes";"39";"1_28";"3";"14";"0"
"enzymes";"39";"1_5754";"1";"2";"0"
"enzymes";"39";"1_66";"1";"2";"0"
"enzymes";"39";"1_115";"1";"4";"0"
"enzymes";"39";"1_69";"1";"6";"0"
"enzymes";"39";"1_806";"1";"1";"0"
"enzymes";"39";"1_81";"1";"2";"0"
