"entity";"totalTeoricoRecomendado";"usuario";"totalResposta";"somaUp";"somaDown"
"evolutionary";"47";"1_107";"11";"104";"0"
"evolutionary";"47";"1_4101";"7";"16";"1"
"evolutionary";"47";"1_3624";"7";"23";"0"
"evolutionary";"47";"1_3632";"57";"266";"8"
"evolutionary";"47";"1_1306";"18";"95";"0"
"evolutionary";"47";"1_112";"11";"60";"2"
"evolutionary";"47";"1_4108";"20";"63";"1"
"evolutionary";"47";"1_1590";"13";"70";"0"
"evolutionary";"47";"1_4579";"6";"14";"0"
"evolutionary";"47";"1_535";"6";"27";"0"
"evolutionary";"47";"1_5144";"6";"19";"0"
"evolutionary";"47";"1_389";"5";"48";"3"
"evolutionary";"47";"1_806";"7";"42";"0"
"evolutionary";"47";"1_948";"1";"2";"0"
"evolutionary";"47";"1_1231";"14";"88";"2"
"evolutionary";"47";"1_740";"6";"41";"1"
"evolutionary";"47";"1_430";"9";"149";"1"
"evolutionary";"47";"1_1122";"8";"35";"7"
"evolutionary";"47";"1_166";"3";"27";"0"
"evolutionary";"47";"1_81";"5";"43";"0"
"evolutionary";"47";"1_67";"1";"8";"0"
"evolutionary";"47";"1_69";"4";"43";"0"
"evolutionary";"47";"1_1320";"7";"25";"0"
"evolutionary";"47";"1_2938";"9";"22";"2"
"evolutionary";"47";"1_231";"3";"13";"0"
"evolutionary";"47";"1_1757";"7";"12";"1"
"evolutionary";"47";"1_3340";"6";"13";"0"
"evolutionary";"47";"1_3971";"1";"4";"0"
"evolutionary";"47";"1_4168";"1";"2";"0"
"evolutionary";"47";"1_3776";"1";"2";"0"
"evolutionary";"47";"1_28";"3";"38";"0"
"evolutionary";"47";"1_5148";"5";"2";"0"
"evolutionary";"47";"1_3952";"6";"36";"0"
"evolutionary";"47";"1_5754";"3";"10";"1"
"evolutionary";"47";"1_43";"3";"26";"2"
"evolutionary";"47";"1_57";"1";"7";"0"
"evolutionary";"47";"1_444";"2";"5";"0"
"evolutionary";"47";"1_115";"5";"26";"1"
"evolutionary";"47";"1_1441";"2";"2";"0"
"evolutionary";"47";"1_307";"1";"2";"0"
"evolutionary";"47";"1_6";"1";"10";"0"
"evolutionary";"47";"1_3059";"2";"4";"0"
"evolutionary";"47";"1_3053";"1";"3";"0"
"evolutionary";"47";"1_66";"1";"11";"0"
