"entity";"totalTeoricoRecomendado";"usuario";"totalResposta";"somaUp";"somaDown"
"gene";"48";"1_560";"7";"21";"0"
"gene";"48";"1_4101";"12";"54";"0"
"gene";"48";"1_1306";"17";"69";"0"
"gene";"48";"1_4168";"3";"8";"0"
"gene";"48";"1_3632";"42";"124";"0"
"gene";"48";"1_3776";"3";"9";"0"
"gene";"48";"1_4108";"11";"38";"0"
"gene";"48";"1_535";"12";"61";"2"
"gene";"48";"1_948";"8";"26";"0"
"gene";"48";"1_1320";"22";"60";"0"
"gene";"48";"1_5144";"13";"21";"0"
"gene";"48";"1_3340";"18";"32";"0"
"gene";"48";"1_5148";"5";"7";"0"
"gene";"48";"1_5754";"5";"15";"0"
"gene";"48";"1_3615";"4";"4";"0"
"gene";"48";"1_1757";"3";"2";"0"
"gene";"48";"1_28";"11";"52";"0"
"gene";"48";"1_444";"6";"20";"0"
"gene";"48";"1_112";"12";"43";"0"
"gene";"48";"1_740";"9";"60";"0"
"gene";"48";"1_166";"5";"45";"0"
"gene";"48";"1_107";"5";"22";"1"
"gene";"48";"1_1122";"3";"7";"0"
"gene";"48";"1_43";"9";"34";"0"
"gene";"48";"1_389";"6";"25";"1"
"gene";"48";"1_1231";"6";"15";"0"
"gene";"48";"1_1441";"7";"24";"0"
"gene";"48";"1_1590";"7";"32";"0"
"gene";"48";"1_3053";"3";"15";"0"
"gene";"48";"1_115";"3";"22";"0"
"gene";"48";"1_3059";"8";"16";"0"
"gene";"48";"1_3460";"1";"1";"0"
"gene";"48";"1_231";"4";"17";"0"
"gene";"48";"1_4177";"1";"1";"0"
"gene";"48";"1_3971";"2";"2";"0"
"gene";"48";"1_3624";"1";"4";"0"
"gene";"48";"1_4579";"3";"6";"0"
"gene";"48";"1_5694";"2";"2";"0"
"gene";"48";"1_430";"3";"28";"0"
"gene";"48";"1_66";"3";"15";"1"
"gene";"48";"1_806";"5";"22";"0"
"gene";"48";"1_86";"1";"1";"0"
"gene";"48";"1_81";"1";"2";"0"
"gene";"48";"1_69";"1";"2";"0"
