"entity";"totalTeoricoRecomendado";"usuario";"totalResposta";"somaUp";"somaDown"
"genetic code";"24";"1_4101";"2";"8";"0"
"genetic code";"24";"1_28";"3";"26";"0"
"genetic code";"24";"1_535";"2";"8";"0"
"genetic code";"24";"1_3776";"1";"2";"0"
"genetic code";"24";"1_1306";"2";"4";"0"
"genetic code";"24";"1_740";"1";"3";"0"
"genetic code";"24";"1_3340";"1";"1";"0"
"genetic code";"24";"1_4108";"3";"8";"0"
"genetic code";"24";"1_3632";"2";"11";"0"
"genetic code";"24";"1_1590";"1";"4";"1"
"genetic code";"24";"1_5144";"2";"6";"0"
"genetic code";"24";"1_1320";"2";"6";"0"
"genetic code";"24";"1_560";"1";"3";"0"
"genetic code";"24";"1_43";"1";"8";"0"
"genetic code";"24";"1_6";"1";"7";"0"
