"entity";"totalTeoricoRecomendado";"usuario";"totalResposta";"somaUp";"somaDown"
"genomes";"45";"1_112";"3";"10";"0"
"genomes";"45";"1_107";"2";"8";"0"
"genomes";"45";"1_1306";"12";"34";"0"
"genomes";"45";"1_3971";"2";"5";"0"
"genomes";"45";"1_4101";"9";"27";"0"
"genomes";"45";"1_535";"11";"57";"1"
"genomes";"45";"1_3632";"15";"52";"0"
"genomes";"45";"1_2938";"2";"3";"0"
"genomes";"45";"1_231";"3";"15";"1"
"genomes";"45";"1_1590";"1";"4";"1"
"genomes";"45";"1_389";"1";"7";"0"
"genomes";"45";"1_430";"2";"37";"0"
"genomes";"45";"1_1320";"12";"26";"0"
"genomes";"45";"1_3340";"9";"26";"0"
"genomes";"45";"1_5144";"14";"34";"0"
"genomes";"45";"1_166";"4";"42";"0"
"genomes";"45";"1_43";"7";"28";"0"
"genomes";"45";"1_740";"3";"14";"0"
"genomes";"45";"1_1122";"1";"3";"0"
"genomes";"45";"1_560";"1";"3";"0"
"genomes";"45";"1_1231";"1";"4";"0"
"genomes";"45";"1_4168";"2";"3";"0"
"genomes";"45";"1_28";"6";"39";"0"
"genomes";"45";"1_444";"2";"11";"0"
"genomes";"45";"1_1757";"2";"0";"0"
"genomes";"45";"1_4108";"3";"14";"0"
"genomes";"45";"1_5148";"2";"5";"0"
"genomes";"45";"1_3624";"1";"2";"0"
"genomes";"45";"1_3615";"2";"3";"0"
"genomes";"45";"1_5754";"2";"9";"0"
"genomes";"45";"1_948";"1";"2";"0"
"genomes";"45";"1_115";"2";"12";"0"
"genomes";"45";"1_3059";"2";"1";"0"
"genomes";"45";"1_6";"1";"7";"0"
"genomes";"45";"1_3053";"1";"9";"0"
"genomes";"45";"1_4177";"1";"1";"0"
