"entity";"totalTeoricoRecomendado";"usuario";"totalResposta";"somaUp";"somaDown"
"hormones";"25";"1_115";"8";"42";"0"
"hormones";"25";"1_4101";"1";"2";"0"
"hormones";"25";"1_3340";"3";"3";"0"
"hormones";"25";"1_3632";"8";"17";"0"
"hormones";"25";"1_430";"1";"10";"0"
"hormones";"25";"1_1320";"4";"20";"0"
"hormones";"25";"1_1757";"3";"4";"0"
"hormones";"25";"1_444";"2";"17";"0"
"hormones";"25";"1_86";"1";"0";"0"
"hormones";"25";"1_5754";"1";"7";"0"
"hormones";"25";"1_560";"4";"8";"0"
"hormones";"25";"1_806";"2";"4";"0"
"hormones";"25";"1_1590";"2";"5";"0"
"hormones";"25";"1_1122";"1";"1";"0"
"hormones";"25";"1_66";"1";"3";"0"
