"entity";"totalTeoricoRecomendado";"usuario";"totalResposta";"somaUp";"somaDown"
"humans";"50";"1_166";"9";"48";"3"
"humans";"50";"1_4101";"14";"43";"0"
"humans";"50";"1_444";"9";"58";"0"
"humans";"50";"1_740";"6";"24";"0"
"humans";"50";"1_4579";"7";"10";"0"
"humans";"50";"1_3971";"5";"12";"0"
"humans";"50";"1_43";"6";"17";"0"
"humans";"50";"1_107";"11";"78";"0"
"humans";"50";"1_231";"6";"24";"0"
"humans";"50";"1_66";"9";"83";"0"
"humans";"50";"1_535";"11";"52";"5"
"humans";"50";"1_4108";"16";"46";"0"
"humans";"50";"1_5148";"9";"11";"0"
"humans";"50";"1_1757";"11";"17";"0"
"humans";"50";"1_3632";"62";"296";"2"
"humans";"50";"1_1306";"21";"118";"1"
"humans";"50";"1_2938";"10";"44";"0"
"humans";"50";"1_5694";"1";"2";"0"
"humans";"50";"1_5754";"9";"46";"0"
"humans";"50";"1_1320";"24";"88";"0"
"humans";"50";"1_3615";"5";"4";"3"
"humans";"50";"1_5144";"12";"31";"0"
"humans";"50";"1_1590";"12";"54";"0"
"humans";"50";"1_3340";"10";"20";"0"
"humans";"50";"1_57";"2";"8";"0"
"humans";"50";"1_430";"5";"50";"0"
"humans";"50";"1_112";"12";"72";"1"
"humans";"50";"1_1231";"28";"157";"0"
"humans";"50";"1_1122";"8";"29";"0"
"humans";"50";"1_69";"11";"106";"2"
"humans";"50";"1_3053";"5";"8";"0"
"humans";"50";"1_1441";"6";"13";"0"
"humans";"50";"1_3460";"7";"17";"0"
"humans";"50";"1_560";"8";"36";"1"
"humans";"50";"1_115";"12";"92";"0"
"humans";"50";"1_389";"4";"40";"1"
"humans";"50";"1_3059";"3";"6";"0"
"humans";"50";"1_307";"4";"7";"0"
"humans";"50";"1_948";"7";"20";"0"
"humans";"50";"1_3624";"6";"14";"0"
"humans";"50";"1_4177";"1";"1";"0"
"humans";"50";"1_4168";"2";"7";"0"
"humans";"50";"1_3776";"4";"15";"0"
"humans";"50";"1_86";"3";"10";"1"
"humans";"50";"1_67";"2";"12";"0"
"humans";"50";"1_3952";"2";"5";"0"
"humans";"50";"1_28";"3";"18";"0"
"humans";"50";"1_6";"1";"1";"0"
"humans";"50";"1_806";"9";"50";"0"
"humans";"50";"1_81";"1";"47";"0"
