"entity";"totalTeoricoRecomendado";"usuario";"totalResposta";"somaUp";"somaDown"
"muscle";"24";"1_1231";"2";"5";"0"
"muscle";"24";"1_4101";"2";"5";"0"
"muscle";"24";"1_1320";"2";"11";"0"
"muscle";"24";"1_69";"1";"6";"0"
"muscle";"24";"1_3632";"4";"10";"0"
"muscle";"24";"1_107";"6";"25";"0"
"muscle";"24";"1_86";"2";"3";"0"
"muscle";"24";"1_740";"1";"6";"0"
"muscle";"24";"1_444";"1";"8";"0"
"muscle";"24";"1_1757";"1";"1";"0"
"muscle";"24";"1_560";"1";"3";"0"
"muscle";"24";"1_66";"1";"5";"1"
"muscle";"24";"1_2938";"1";"3";"0"
