"entity";"totalTeoricoRecomendado";"usuario";"totalResposta";"somaUp";"somaDown"
"organisms";"45";"1_4101";"5";"17";"0"
"organisms";"45";"1_535";"6";"28";"0"
"organisms";"45";"1_69";"3";"47";"0"
"organisms";"45";"1_3632";"37";"160";"3"
"organisms";"45";"1_3615";"1";"2";"0"
"organisms";"45";"1_4108";"12";"35";"0"
"organisms";"45";"1_389";"5";"30";"5"
"organisms";"45";"1_430";"5";"76";"0"
"organisms";"45";"1_5144";"2";"6";"0"
"organisms";"45";"1_67";"2";"15";"0"
"organisms";"45";"1_1306";"12";"56";"0"
"organisms";"45";"1_4579";"4";"6";"0"
"organisms";"45";"1_2938";"6";"20";"2"
"organisms";"45";"1_107";"3";"19";"0"
"organisms";"45";"1_5754";"1";"2";"0"
"organisms";"45";"1_43";"4";"28";"2"
"organisms";"45";"1_560";"3";"10";"0"
"organisms";"45";"1_806";"4";"26";"0"
"organisms";"45";"1_307";"1";"4";"0"
"organisms";"45";"1_740";"4";"18";"1"
"organisms";"45";"1_81";"6";"42";"0"
"organisms";"45";"1_1441";"8";"21";"0"
"organisms";"45";"1_1231";"10";"48";"0"
"organisms";"45";"1_166";"4";"25";"0"
"organisms";"45";"1_112";"5";"26";"0"
"organisms";"45";"1_1320";"10";"41";"0"
"organisms";"45";"1_3952";"3";"5";"0"
"organisms";"45";"1_3340";"6";"13";"0"
"organisms";"45";"1_3059";"4";"8";"0"
"organisms";"45";"1_3624";"4";"5";"0"
"organisms";"45";"1_4168";"2";"4";"0"
"organisms";"45";"1_3971";"1";"7";"0"
"organisms";"45";"1_66";"2";"38";"0"
"organisms";"45";"1_4177";"2";"2";"0"
"organisms";"45";"1_1590";"2";"4";"0"
"organisms";"45";"1_231";"5";"17";"1"
"organisms";"45";"1_28";"4";"42";"0"
"organisms";"45";"1_1757";"3";"7";"0"
"organisms";"45";"1_6";"2";"11";"0"
"organisms";"45";"1_115";"3";"23";"0"
"organisms";"45";"1_1122";"5";"16";"7"
"organisms";"45";"1_3053";"1";"2";"0"
