"entity";"totalTeoricoRecomendado";"usuario";"totalResposta";"somaUp";"somaDown"
"plants";"40";"1_430";"14";"168";"0"
"plants";"40";"1_3632";"21";"58";"3"
"plants";"40";"1_3624";"6";"8";"0"
"plants";"40";"1_3952";"11";"20";"0"
"plants";"40";"1_3776";"2";"6";"0"
"plants";"40";"1_81";"9";"101";"0"
"plants";"40";"1_535";"8";"35";"0"
"plants";"40";"1_4101";"3";"18";"0"
"plants";"40";"1_4108";"6";"8";"0"
"plants";"40";"1_4579";"2";"3";"0"
"plants";"40";"1_1320";"14";"48";"0"
"plants";"40";"1_3615";"3";"7";"0"
"plants";"40";"1_69";"5";"41";"2"
"plants";"40";"1_740";"3";"22";"0"
"plants";"40";"1_1122";"4";"22";"0"
"plants";"40";"1_444";"1";"7";"0"
"plants";"40";"1_560";"2";"8";"1"
"plants";"40";"1_1590";"4";"7";"0"
"plants";"40";"1_5148";"1";"0";"0"
"plants";"40";"1_2938";"2";"18";"0"
"plants";"40";"1_3340";"5";"9";"0"
"plants";"40";"1_3053";"1";"1";"0"
"plants";"40";"1_4168";"2";"9";"0"
"plants";"40";"1_4177";"2";"3";"0"
"plants";"40";"1_3971";"1";"1";"0"
"plants";"40";"1_112";"1";"1";"0"
"plants";"40";"1_231";"1";"6";"0"
"plants";"40";"1_115";"1";"7";"0"
"plants";"40";"1_5144";"2";"3";"0"
"plants";"40";"1_107";"2";"6";"0"
"plants";"40";"1_5754";"2";"24";"0"
"plants";"40";"1_806";"1";"4";"0"
"plants";"40";"1_57";"1";"11";"0"
"plants";"40";"1_1306";"3";"7";"0"
"plants";"40";"1_1231";"1";"4";"0"
"plants";"40";"1_307";"1";"2";"0"
"plants";"40";"1_3059";"1";"2";"0"
"plants";"40";"1_43";"1";"4";"0"
