"entity";"totalTeoricoRecomendado";"usuario";"totalResposta";"somaUp";"somaDown"
"protein";"44";"1_4168";"1";"3";"0"
"protein";"44";"1_3632";"41";"135";"5"
"protein";"44";"1_3340";"22";"36";"0"
"protein";"44";"1_4101";"5";"13";"0"
"protein";"44";"1_560";"17";"52";"0"
"protein";"44";"1_1320";"37";"122";"0"
"protein";"44";"1_3971";"3";"8";"0"
"protein";"44";"1_28";"7";"39";"0"
"protein";"44";"1_535";"7";"40";"0"
"protein";"44";"1_6";"12";"80";"2"
"protein";"44";"1_115";"6";"40";"0"
"protein";"44";"1_948";"12";"30";"0"
"protein";"44";"1_69";"2";"19";"0"
"protein";"44";"1_4108";"4";"20";"0"
"protein";"44";"1_5144";"21";"36";"0"
"protein";"44";"1_5754";"6";"14";"0"
"protein";"44";"1_86";"4";"3";"0"
"protein";"44";"1_43";"8";"36";"0"
"protein";"44";"1_112";"5";"41";"0"
"protein";"44";"1_806";"3";"12";"0"
"protein";"44";"1_389";"11";"42";"0"
"protein";"44";"1_1122";"5";"13";"0"
"protein";"44";"1_3460";"4";"8";"0"
"protein";"44";"1_430";"1";"8";"0"
"protein";"44";"1_1306";"12";"31";"0"
"protein";"44";"1_3053";"1";"0";"0"
"protein";"44";"1_5148";"2";"2";"0"
"protein";"44";"1_66";"4";"20";"0"
"protein";"44";"1_1757";"12";"30";"0"
"protein";"44";"1_3059";"4";"9";"0"
"protein";"44";"1_1441";"5";"15";"0"
"protein";"44";"1_444";"4";"21";"0"
"protein";"44";"1_107";"4";"17";"0"
"protein";"44";"1_307";"1";"0";"0"
"protein";"44";"1_3615";"2";"0";"0"
"protein";"44";"1_166";"2";"18";"0"
"protein";"44";"1_740";"2";"5";"0"
"protein";"44";"1_1231";"3";"18";"0"
"protein";"44";"1_231";"2";"5";"0"
