"entity";"totalTeoricoRecomendado";"usuario";"totalResposta";"somaUp";"somaDown"
"ribosome";"41";"1_4101";"2";"4";"0"
"ribosome";"41";"1_3632";"12";"41";"0"
"ribosome";"41";"1_1122";"3";"7";"0"
"ribosome";"41";"1_3059";"1";"0";"0"
"ribosome";"41";"1_1306";"2";"5";"0"
"ribosome";"41";"1_231";"2";"8";"0"
"ribosome";"41";"1_1320";"3";"6";"0"
"ribosome";"41";"1_535";"2";"7";"3"
"ribosome";"41";"1_112";"2";"10";"0"
"ribosome";"41";"1_560";"4";"10";"0"
"ribosome";"41";"1_3340";"2";"2";"0"
"ribosome";"41";"1_3624";"2";"3";"0"
"ribosome";"41";"1_4108";"2";"14";"0"
"ribosome";"41";"1_5144";"2";"7";"0"
"ribosome";"41";"1_948";"2";"6";"0"
"ribosome";"41";"1_86";"4";"0";"0"
"ribosome";"41";"1_28";"5";"30";"0"
"ribosome";"41";"1_444";"2";"6";"0"
"ribosome";"41";"1_66";"2";"10";"0"
"ribosome";"41";"1_389";"1";"4";"0"
"ribosome";"41";"1_1757";"3";"12";"0"
"ribosome";"41";"1_740";"1";"1";"0"
"ribosome";"41";"1_166";"1";"3";"0"
"ribosome";"41";"1_67";"1";"2";"0"
"ribosome";"41";"1_57";"1";"6";"1"
"ribosome";"41";"1_115";"1";"10";"0"
"ribosome";"41";"1_1590";"2";"5";"0"
"ribosome";"41";"1_806";"1";"1";"0"
"ribosome";"41";"1_69";"1";"2";"0"
"ribosome";"41";"1_3971";"1";"1";"0"
