"entity";"totalTeoricoRecomendado";"usuario";"totalResposta";"somaUp";"somaDown"
"rna";"38";"1_4168";"2";"5";"0"
"rna";"38";"1_1306";"6";"15";"0"
"rna";"38";"1_4101";"2";"7";"0"
"rna";"38";"1_560";"2";"6";"0"
"rna";"38";"1_389";"5";"24";"1"
"rna";"38";"1_5144";"9";"23";"0"
"rna";"38";"1_1320";"8";"36";"0"
"rna";"38";"1_6";"12";"92";"0"
"rna";"38";"1_28";"3";"11";"0"
"rna";"38";"1_43";"2";"17";"0"
"rna";"38";"1_3340";"10";"24";"0"
"rna";"38";"1_1590";"1";"1";"0"
"rna";"38";"1_4177";"1";"3";"0"
"rna";"38";"1_3632";"8";"29";"1"
"rna";"38";"1_3615";"1";"3";"0"
"rna";"38";"1_1757";"3";"5";"0"
"rna";"38";"1_4108";"1";"3";"0"
"rna";"38";"1_4579";"2";"5";"0"
"rna";"38";"1_430";"1";"9";"0"
"rna";"38";"1_1441";"3";"5";"0"
"rna";"38";"1_307";"1";"9";"0"
"rna";"38";"1_69";"1";"12";"1"
"rna";"38";"1_806";"1";"1";"0"
"rna";"38";"1_2938";"1";"1";"0"
"rna";"38";"1_948";"1";"1";"0"
