"entity";"totalTeoricoRecomendado";"usuario";"totalResposta";"somaUp";"somaDown"
"species";"44";"1_112";"9";"38";"1"
"species";"44";"1_107";"8";"72";"0"
"species";"44";"1_3340";"5";"12";"0"
"species";"44";"1_4101";"6";"13";"0"
"species";"44";"1_4168";"2";"3";"0"
"species";"44";"1_3624";"19";"58";"0"
"species";"44";"1_3952";"10";"19";"0"
"species";"44";"1_1306";"13";"65";"0"
"species";"44";"1_4579";"7";"15";"0"
"species";"44";"1_1320";"17";"54";"0"
"species";"44";"1_4108";"18";"43";"1"
"species";"44";"1_43";"4";"18";"0"
"species";"44";"1_231";"2";"14";"1"
"species";"44";"1_115";"3";"28";"0"
"species";"44";"1_3776";"1";"3";"0"
"species";"44";"1_3632";"29";"109";"3"
"species";"44";"1_5144";"7";"14";"0"
"species";"44";"1_430";"7";"106";"0"
"species";"44";"1_806";"2";"10";"1"
"species";"44";"1_1231";"6";"34";"0"
"species";"44";"1_740";"5";"14";"1"
"species";"44";"1_1122";"6";"21";"4"
"species";"44";"1_307";"3";"22";"0"
"species";"44";"1_69";"2";"26";"0"
"species";"44";"1_535";"4";"15";"0"
"species";"44";"1_1590";"10";"61";"1"
"species";"44";"1_66";"2";"9";"0"
"species";"44";"1_2938";"5";"30";"0"
"species";"44";"1_81";"6";"86";"0"
"species";"44";"1_1757";"1";"2";"0"
"species";"44";"1_3971";"1";"2";"0"
"species";"44";"1_3615";"2";"3";"0"
"species";"44";"1_4177";"1";"0";"0"
"species";"44";"1_5754";"3";"12";"0"
"species";"44";"1_444";"3";"26";"0"
"species";"44";"1_560";"1";"6";"1"
"species";"44";"1_948";"1";"2";"0"
"species";"44";"1_166";"2";"20";"0"
"species";"44";"1_389";"1";"4";"2"
"species";"44";"1_1441";"1";"1";"0"
"species";"44";"1_3059";"1";"3";"0"
"species";"44";"1_3053";"1";"1";"0"
