"entity";"totalTeoricoRecomendado";"usuario";"totalResposta";"somaUp";"somaDown"
"virus";"33";"1_4101";"4";"30";"0"
"virus";"33";"1_3632";"6";"25";"0"
"virus";"33";"1_5144";"10";"22";"0"
"virus";"33";"1_5148";"1";"1";"0"
"virus";"33";"1_1320";"7";"28";"0"
"virus";"33";"1_1757";"5";"10";"0"
"virus";"33";"1_948";"3";"7";"0"
"virus";"33";"1_166";"1";"5";"0"
"virus";"33";"1_535";"1";"4";"0"
"virus";"33";"1_307";"1";"9";"0"
"virus";"33";"1_69";"4";"12";"0"
"virus";"33";"1_560";"1";"1";"0"
"virus";"33";"1_806";"3";"9";"0"
"virus";"33";"1_4108";"2";"7";"0"
"virus";"33";"1_2938";"1";"7";"0"
"virus";"33";"1_1441";"1";"1";"0"
"virus";"33";"1_1306";"3";"12";"0"
"virus";"33";"1_3971";"2";"8";"0"
"virus";"33";"1_3340";"2";"2";"0"
"virus";"33";"1_1231";"5";"20";"0"
"virus";"33";"1_4177";"1";"1";"0"
"virus";"33";"1_3460";"1";"0";"0"
"virus";"33";"1_67";"3";"10";"0"
"virus";"33";"1_66";"1";"7";"0"
"virus";"33";"1_1590";"1";"11";"0"
