"idText";"tipo";"score";"uri";"surface";"idUsuario";"comunidade";"votosPositivos";"votosNegativos"
"1_10442";"texto_pergunta";"0,196529984474182";"http://dbpedia.org/resource/Amphibian";"amphibians";"1_3615";"BIO";"4";"0"
"1_10605";"titulo_pergunta";"0,129638344049454";"http://dbpedia.org/resource/Amphibian";"amphibians";"1_3615";"BIO";"0";"0"
"1_13469";"titulo_pergunta";"0,165054246783257";"http://dbpedia.org/resource/Amphibian";"amphibians";"1_3615";"BIO";"1";"0"
"1_13469";"texto_pergunta";"0,120088174939156";"http://dbpedia.org/resource/Amphibian";"amphibians";"1_3615";"BIO";"1";"0"
"1_13510";"titulo_pergunta";"0,189656764268875";"http://dbpedia.org/resource/Amphibian";"amphibians";"1_3615";"BIO";"1";"0"
"1_13510";"texto_pergunta";"0,12693364918232";"http://dbpedia.org/resource/Amphibian";"amphibians";"1_3615";"BIO";"1";"0"
"1_948";"titulo_pergunta";"0,124715819954872";"http://dbpedia.org/resource/Amphibian";"amphibians";"1_86";"BIO";"4";"0"
"1_2419";"texto_resposta";"0,137411639094353";"http://dbpedia.org/resource/Amphibian";"amphibians";"1_107";"BIO";"4";"0"
"1_2419";"texto_resposta";"0,137411639094353";"http://dbpedia.org/resource/Amphibian";"amphibians";"1_107";"BIO";"4";"0"
"1_3699";"texto_resposta";"0,131173387169838";"http://dbpedia.org/resource/Amphibian";"amphibians";"1_112";"BIO";"6";"0"
"1_5254";"texto_resposta";"0,0944423824548721";"http://dbpedia.org/resource/Amphibian";"amphibians";"1_107";"BIO";"3";"0"
"1_7527";"texto_resposta";"0,120787031948566";"http://dbpedia.org/resource/Amphibian";"amphibians";"1_1231";"BIO";"1";"0"
"1_7527";"texto_resposta";"0,120787031948566";"http://dbpedia.org/resource/Amphibian";"amphibians";"1_1231";"BIO";"1";"0"
"1_8366";"texto_resposta";"0,0984687954187393";"http://dbpedia.org/resource/Amphibian";"amphibians";"1_3632";"BIO";"2";"1"
"1_8366";"texto_resposta";"0,0984687954187393";"http://dbpedia.org/resource/Amphibian";"amphibians";"1_3632";"BIO";"2";"1"
"1_9862";"texto_resposta";"0,175364792346954";"http://dbpedia.org/resource/Amphibian";"amphibians";"1_3971";"BIO";"1";"0"
