"idText";"tipo";"score";"uri";"surface";"idUsuario";"comunidade";"votosPositivos";"votosNegativos"
"1_1024";"texto_pergunta";"0,116022735834122";"http://dbpedia.org/resource/Bacteria";"bacteria";"1_307";"BIO";"5";"0"
"1_10285";"texto_pergunta";"0,17252841591835";"http://dbpedia.org/resource/Bacteria";"bacteria";"1_3615";"BIO";"1";"0"
"1_10390";"texto_pergunta";"0,1557697057724";"http://dbpedia.org/resource/Bacteria";"bacteria";"1_3615";"BIO";"2";"1"
"1_10411";"texto_pergunta";"0,161640122532845";"http://dbpedia.org/resource/Bacteria";"bacteria";"1_3615";"BIO";"1";"0"
"1_10411";"texto_pergunta";"0,161640122532845";"http://dbpedia.org/resource/Bacteria";"bacteria";"1_3615";"BIO";"1";"0"
"1_10411";"texto_pergunta";"0,161640122532845";"http://dbpedia.org/resource/Bacteria";"bacteria";"1_3615";"BIO";"1";"0"
"1_10917";"texto_pergunta";"0,0853092074394226";"http://dbpedia.org/resource/Bacteria";"bacteria";"1_3632";"BIO";"2";"0"
"1_1134";"titulo_pergunta";"0,142941296100616";"http://dbpedia.org/resource/Bacteria";"bacteria";"1_28";"BIO";"17";"0"
"1_1175";"texto_pergunta";"0,117925919592381";"http://dbpedia.org/resource/Bacteria";"bacteria";"1_3632";"BIO";"7";"0"
"1_1175";"texto_pergunta";"0,117925919592381";"http://dbpedia.org/resource/Bacteria";"bacteria";"1_3632";"BIO";"7";"0"
"1_1220";"texto_pergunta";"0,10414132475853";"http://dbpedia.org/resource/Bacteria";"bacteria";"1_3632";"BIO";"10";"0"
"1_13708";"texto_pergunta";"0,163683012127876";"http://dbpedia.org/resource/Bacteria";"bacteria";"1_3615";"BIO";"4";"0"
"1_13708";"texto_pergunta";"0,163683012127876";"http://dbpedia.org/resource/Bacteria";"bacteria";"1_3615";"BIO";"4";"0"
"1_13708";"texto_pergunta";"0,163683012127876";"http://dbpedia.org/resource/Bacteria";"bacteria";"1_3615";"BIO";"4";"0"
"1_13708";"texto_pergunta";"0,163683012127876";"http://dbpedia.org/resource/Bacteria";"bacteria";"1_3615";"BIO";"4";"0"
"1_13708";"texto_pergunta";"0,163683012127876";"http://dbpedia.org/resource/Bacteria";"bacteria";"1_3615";"BIO";"4";"0"
"1_13708";"texto_pergunta";"0,163683012127876";"http://dbpedia.org/resource/Bacteria";"bacteria";"1_3615";"BIO";"4";"0"
"1_13867";"texto_pergunta";"0,142321512103081";"http://dbpedia.org/resource/Bacteria";"bacteria";"1_3615";"BIO";"1";"0"
"1_13879";"texto_pergunta";"0,0844780504703522";"http://dbpedia.org/resource/Bacteria";"bacteria";"1_3615";"BIO";"2";"0"
"1_14001";"texto_pergunta";"0,111053466796875";"http://dbpedia.org/resource/Bacteria";"bacteria";"1_3615";"BIO";"2";"0"
