"idText";"tipo";"score";"uri";"surface";"idUsuario";"comunidade";"votosPositivos";"votosNegativos"
"1_1004";"titulo_pergunta";"0,123011231422424";"http://dbpedia.org/resource/Human";"humans";"1_86";"BIO";"4";"0"
"1_1004";"texto_pergunta";"0,109918028116226";"http://dbpedia.org/resource/Human";"humans";"1_86";"BIO";"4";"0"
"1_1004";"texto_pergunta";"0,109918028116226";"http://dbpedia.org/resource/Human";"humans";"1_86";"BIO";"4";"0"
"1_10365";"titulo_pergunta";"0,106774568557739";"http://dbpedia.org/resource/Human";"humans";"1_740";"BIO";"2";"0"
"1_10390";"texto_pergunta";"0,131007924675941";"http://dbpedia.org/resource/Human";"humans";"1_3615";"BIO";"2";"1"
"1_10434";"titulo_pergunta";"0,139218747615814";"http://dbpedia.org/resource/Human";"humans";"1_3615";"BIO";"1";"0"
"1_10444";"texto_pergunta";"0,135499551892281";"http://dbpedia.org/resource/Human";"humans";"1_3615";"BIO";"1";"0"
"1_10522";"texto_pergunta";"0,115812428295612";"http://dbpedia.org/resource/Human";"humans";"1_3615";"BIO";"4";"1"
"1_1066";"texto_pergunta";"0,15008270740509";"http://dbpedia.org/resource/Human";"humans";"1_444";"BIO";"9";"0"
"1_11091";"titulo_pergunta";"0,12852181494236";"http://dbpedia.org/resource/Human";"humans";"1_3615";"BIO";"2";"0"
"1_11091";"texto_pergunta";"0,101000085473061";"http://dbpedia.org/resource/Human";"humans";"1_3615";"BIO";"2";"0"
"1_11091";"texto_pergunta";"0,101000085473061";"http://dbpedia.org/resource/Human";"humans";"1_3615";"BIO";"2";"0"
"1_11389";"texto_pergunta";"0,0588277652859688";"http://dbpedia.org/resource/Human";"humans";"1_3971";"BIO";"1";"0"
"1_1179";"texto_pergunta";"0,0803384408354759";"http://dbpedia.org/resource/Human";"humans";"1_86";"BIO";"6";"0"
"1_1179";"texto_pergunta";"0,094574511051178";"http://dbpedia.org/resource/Human";"humans";"1_86";"BIO";"6";"0"
"1_1179";"texto_pergunta";"0,0803384408354759";"http://dbpedia.org/resource/Human";"humans";"1_86";"BIO";"6";"0"
"1_1179";"texto_pergunta";"0,0803384408354759";"http://dbpedia.org/resource/Human";"humans";"1_86";"BIO";"6";"0"
"1_1206";"texto_pergunta";"0,0925446227192879";"http://dbpedia.org/resource/Human";"humans";"1_86";"BIO";"3";"0"
"1_1206";"texto_pergunta";"0,0925446227192879";"http://dbpedia.org/resource/Human";"humans";"1_86";"BIO";"3";"0"
"1_1206";"texto_pergunta";"0,0925446227192879";"http://dbpedia.org/resource/Human";"humans";"1_86";"BIO";"3";"0"
"1_126";"titulo_pergunta";"0,107956551015377";"http://dbpedia.org/resource/Human";"humans";"1_86";"BIO";"12";"1"
"1_126";"texto_pergunta";"0,102476969361305";"http://dbpedia.org/resource/Human";"humans";"1_86";"BIO";"12";"1"
"1_126";"texto_pergunta";"0,0896838903427124";"http://dbpedia.org/resource/Human";"humans";"1_86";"BIO";"12";"1"
"1_126";"texto_pergunta";"0,0896838903427124";"http://dbpedia.org/resource/Human";"humans";"1_86";"BIO";"12";"1"
"1_13441";"texto_pergunta";"0,130275279283524";"http://dbpedia.org/resource/Human";"humans";"1_3776";"BIO";"2";"0"
"1_13454";"texto_pergunta";"0,052311833947897";"http://dbpedia.org/resource/Human";"humans";"1_3776";"BIO";"5";"0"
"1_13501";"texto_pergunta";"0,0913419127464294";"http://dbpedia.org/resource/Human";"humans";"1_3615";"BIO";"2";"0"
"1_13853";"texto_pergunta";"0,0958351939916611";"http://dbpedia.org/resource/Human";"humans";"1_4108";"BIO";"5";"2"
"1_14163";"texto_pergunta";"0,0962747633457184";"http://dbpedia.org/resource/Human";"humans";"1_4108";"BIO";"3";"0"
"1_14163";"texto_pergunta";"0,0962747633457184";"http://dbpedia.org/resource/Human";"humans";"1_4108";"BIO";"3";"0"
"1_14163";"texto_pergunta";"0,0962747633457184";"http://dbpedia.org/resource/Human";"humans";"1_4108";"BIO";"3";"0"
"1_14275";"texto_pergunta";"0,0729337856173515";"http://dbpedia.org/resource/Human";"humans";"1_3776";"BIO";"4";"0"
"1_147";"titulo_pergunta";"0,143167987465858";"http://dbpedia.org/resource/Human";"humans";"1_57";"BIO";"6";"0"
"1_147";"texto_pergunta";"0,113362528383732";"http://dbpedia.org/resource/Human";"humans";"1_57";"BIO";"6";"0"
"1_14897";"texto_pergunta";"0,109086975455284";"http://dbpedia.org/resource/Human";"humans";"1_1306";"BIO";"2";"0"
"1_15166";"texto_pergunta";"0,119385190308094";"http://dbpedia.org/resource/Human";"humans";"1_3971";"BIO";"3";"0"
"1_15262";"titulo_pergunta";"0,0994806289672852";"http://dbpedia.org/resource/Human";"humans";"1_3615";"BIO";"3";"0"
"1_15262";"texto_pergunta";"0,104899898171425";"http://dbpedia.org/resource/Human";"humans";"1_3615";"BIO";"3";"0"
"1_1537";"texto_pergunta";"0,0650046542286873";"http://dbpedia.org/resource/Human";"humans";"1_86";"BIO";"4";"1"
