"idText";"tipo";"score";"uri";"surface";"idUsuario";"comunidade";"votosPositivos";"votosNegativos"
"1_1008";"titulo_pergunta";"0,204239815473557";"http://dbpedia.org/resource/Plant";"plants";"1_81";"BIO";"8";"0"
"1_1008";"texto_pergunta";"0,147712394595146";"http://dbpedia.org/resource/Plant";"plants";"1_81";"BIO";"8";"0"
"1_10210";"texto_pergunta";"0,183988198637962";"http://dbpedia.org/resource/Plant";"plants";"1_3615";"BIO";"1";"0"
"1_10285";"texto_pergunta";"0,150221407413483";"http://dbpedia.org/resource/Plant";"plants";"1_3615";"BIO";"1";"0"
"1_10372";"titulo_pergunta";"0,211610600352287";"http://dbpedia.org/resource/Plant";"plants";"1_3615";"BIO";"2";"0"
"1_10372";"texto_pergunta";"0,114912949502468";"http://dbpedia.org/resource/Plant";"plants";"1_3615";"BIO";"2";"0"
"1_10372";"texto_pergunta";"0,114912949502468";"http://dbpedia.org/resource/Plant";"plants";"1_3615";"BIO";"2";"0"
"1_10372";"texto_pergunta";"0,114912949502468";"http://dbpedia.org/resource/Plant";"plants";"1_3615";"BIO";"2";"0"
"1_10372";"texto_pergunta";"0,114912949502468";"http://dbpedia.org/resource/Plant";"plants";"1_3615";"BIO";"2";"0"
"1_10442";"texto_pergunta";"0,150334686040878";"http://dbpedia.org/resource/Plant";"plants";"1_3615";"BIO";"4";"0"
"1_10673";"titulo_pergunta";"0,162648588418961";"http://dbpedia.org/resource/Plant";"plants";"1_3615";"BIO";"1";"0"
"1_10673";"texto_pergunta";"0,120634824037552";"http://dbpedia.org/resource/Plant";"plants";"1_3615";"BIO";"1";"0"
"1_10673";"texto_pergunta";"0,134522512555122";"http://dbpedia.org/resource/Plant";"plants";"1_3615";"BIO";"1";"0"
"1_13627";"texto_pergunta";"0,151153936982155";"http://dbpedia.org/resource/Plant";"plants";"1_3615";"BIO";"0";"0"
"1_13756";"texto_pergunta";"0,104615665972233";"http://dbpedia.org/resource/Plant";"plants";"1_3776";"BIO";"3";"0"
"1_14098";"texto_pergunta";"0,143004536628723";"http://dbpedia.org/resource/Plant";"plants";"1_3615";"BIO";"2";"0"
"1_14217";"titulo_pergunta";"0,13588573038578";"http://dbpedia.org/resource/Plant";"plants";"1_3776";"BIO";"6";"0"
"1_14217";"texto_pergunta";"0,139802858233452";"http://dbpedia.org/resource/Plant";"plants";"1_3776";"BIO";"6";"0"
"1_14217";"texto_pergunta";"0,139802858233452";"http://dbpedia.org/resource/Plant";"plants";"1_3776";"BIO";"6";"0"
"1_14217";"texto_pergunta";"0,139802858233452";"http://dbpedia.org/resource/Plant";"plants";"1_3776";"BIO";"6";"0"
"1_14361";"texto_pergunta";"0,123812325298786";"http://dbpedia.org/resource/Plant";"plants";"1_3952";"BIO";"5";"0"
"1_14361";"texto_pergunta";"0,123812325298786";"http://dbpedia.org/resource/Plant";"plants";"1_3952";"BIO";"5";"0"
"1_14523";"texto_pergunta";"0,132824555039406";"http://dbpedia.org/resource/Plant";"plants";"1_3615";"BIO";"3";"0"
"1_14864";"texto_pergunta";"0,0515833683311939";"http://dbpedia.org/resource/Plant";"plants";"1_4108";"BIO";"4";"0"
"1_15262";"titulo_pergunta";"0,157490849494934";"http://dbpedia.org/resource/Plant";"plants";"1_3615";"BIO";"3";"0"
"1_15262";"texto_pergunta";"0,147354587912559";"http://dbpedia.org/resource/Plant";"plants";"1_3615";"BIO";"3";"0"
"1_156";"texto_pergunta";"0,0699879378080368";"http://dbpedia.org/resource/Plant";"plants";"1_6";"BIO";"15";"0"
"1_15907";"titulo_pergunta";"0,162197396159172";"http://dbpedia.org/resource/Plant";"plants";"1_3776";"BIO";"4";"0"
"1_15907";"texto_pergunta";"0,109171234071255";"http://dbpedia.org/resource/Plant";"plants";"1_3776";"BIO";"4";"0"
"1_15907";"texto_pergunta";"0,117880597710609";"http://dbpedia.org/resource/Plant";"plants";"1_3776";"BIO";"4";"0"
"1_15907";"texto_pergunta";"0,117880597710609";"http://dbpedia.org/resource/Plant";"plants";"1_3776";"BIO";"4";"0"
"1_15907";"texto_pergunta";"0,109171234071255";"http://dbpedia.org/resource/Plant";"plants";"1_3776";"BIO";"4";"0"
"1_2951";"texto_pergunta";"0,14576381444931";"http://dbpedia.org/resource/Plant";"plants";"1_740";"BIO";"6";"0"
"1_2951";"texto_pergunta";"0,14576381444931";"http://dbpedia.org/resource/Plant";"plants";"1_740";"BIO";"6";"0"
"1_2951";"texto_pergunta";"0,14576381444931";"http://dbpedia.org/resource/Plant";"plants";"1_740";"BIO";"6";"0"
"1_2951";"texto_pergunta";"0,14576381444931";"http://dbpedia.org/resource/Plant";"plants";"1_740";"BIO";"6";"0"
"1_3769";"texto_pergunta";"0,0872582644224167";"http://dbpedia.org/resource/Plant";"plants";"1_307";"BIO";"3";"0"
"1_3789";"texto_pergunta";"0,0629693418741226";"http://dbpedia.org/resource/Plant";"plants";"1_740";"BIO";"2";"0"
"1_510";"titulo_pergunta";"0,144120961427689";"http://dbpedia.org/resource/Plant";"plants";"1_69";"BIO";"50";"0"
"1_510";"texto_pergunta";"0,121279150247574";"http://dbpedia.org/resource/Plant";"plants";"1_69";"BIO";"50";"0"
"1_5361";"texto_pergunta";"0,112520858645439";"http://dbpedia.org/resource/Plant";"plants";"1_1306";"BIO";"7";"0"
"1_5531";"titulo_pergunta";"0,201162740588188";"http://dbpedia.org/resource/Plant";"plants";"1_3632";"BIO";"2";"0"
"1_5531";"titulo_pergunta";"0,201162740588188";"http://dbpedia.org/resource/Plant";"plants";"1_3632";"BIO";"2";"0"
"1_5531";"texto_pergunta";"0,173034742474556";"http://dbpedia.org/resource/Plant";"plants";"1_3632";"BIO";"2";"0"
"1_5531";"texto_pergunta";"0,173034742474556";"http://dbpedia.org/resource/Plant";"plants";"1_3632";"BIO";"2";"0"
