"idText";"tipo";"score";"uri";"surface";"idUsuario";"comunidade";"votosPositivos";"votosNegativos"
"1_10188";"texto_pergunta";"0,216311767697334";"http://dbpedia.org/resource/Protein";"protein";"1_3615";"BIO";"6";"0"
"1_10188";"texto_pergunta";"0,216311767697334";"http://dbpedia.org/resource/Protein";"protein";"1_3615";"BIO";"6";"0"
"1_10188";"texto_pergunta";"0,216311767697334";"http://dbpedia.org/resource/Protein";"protein";"1_3615";"BIO";"6";"0"
"1_10213";"titulo_pergunta";"0,190291464328766";"http://dbpedia.org/resource/Protein";"protein";"1_3615";"BIO";"0";"0"
"1_10213";"texto_pergunta";"0,178258419036865";"http://dbpedia.org/resource/Protein";"protein";"1_3615";"BIO";"0";"0"
"1_10213";"texto_pergunta";"0,178258419036865";"http://dbpedia.org/resource/Protein";"protein";"1_3615";"BIO";"0";"0"
"1_10213";"texto_pergunta";"0,178258419036865";"http://dbpedia.org/resource/Protein";"protein";"1_3615";"BIO";"0";"0"
"1_10213";"texto_pergunta";"0,178258419036865";"http://dbpedia.org/resource/Protein";"protein";"1_3615";"BIO";"0";"0"
"1_10235";"texto_pergunta";"0,180909499526024";"http://dbpedia.org/resource/Protein";"protein";"1_3615";"BIO";"0";"0"
"1_10292";"texto_pergunta";"0,162744536995888";"http://dbpedia.org/resource/Protein";"protein";"1_307";"BIO";"4";"0"
"1_1031";"texto_pergunta";"0,112594157457352";"http://dbpedia.org/resource/Protein";"protein";"1_86";"BIO";"2";"0"
"1_10444";"texto_pergunta";"0,225504517555237";"http://dbpedia.org/resource/Protein";"protein";"1_3615";"BIO";"1";"0"
"1_10643";"titulo_pergunta";"0,200426802039146";"http://dbpedia.org/resource/Protein";"protein";"1_3615";"BIO";"0";"0"
"1_10643";"texto_pergunta";"0,177903428673744";"http://dbpedia.org/resource/Protein";"protein";"1_3615";"BIO";"0";"0"
"1_10643";"texto_pergunta";"0,177903428673744";"http://dbpedia.org/resource/Protein";"protein";"1_3615";"BIO";"0";"0"
"1_10672";"texto_pergunta";"0,113628305494785";"http://dbpedia.org/resource/Protein";"protein";"1_3615";"BIO";"2";"1"
"1_10672";"texto_pergunta";"0,113628305494785";"http://dbpedia.org/resource/Protein";"protein";"1_3615";"BIO";"2";"1"
"1_10764";"titulo_pergunta";"0,144248127937317";"http://dbpedia.org/resource/Protein";"protein";"1_3971";"BIO";"3";"0"
"1_10764";"texto_pergunta";"0,129055351018906";"http://dbpedia.org/resource/Protein";"protein";"1_3971";"BIO";"3";"0"
"1_10764";"texto_pergunta";"0,129055351018906";"http://dbpedia.org/resource/Protein";"protein";"1_3971";"BIO";"3";"0"
"1_10771";"texto_pergunta";"0,144373148679733";"http://dbpedia.org/resource/Protein";"protein";"1_3340";"BIO";"5";"0"
"1_11127";"texto_pergunta";"0,10893826931715";"http://dbpedia.org/resource/Protein";"protein";"1_3971";"BIO";"2";"0"
"1_11127";"texto_pergunta";"0,10893826931715";"http://dbpedia.org/resource/Protein";"protein";"1_3971";"BIO";"2";"0"
"1_11178";"titulo_pergunta";"0,130183517932892";"http://dbpedia.org/resource/Protein";"protein";"1_3971";"BIO";"1";"0"
"1_11178";"texto_pergunta";"0,112902827560902";"http://dbpedia.org/resource/Protein";"protein";"1_3971";"BIO";"1";"0"
"1_1130";"texto_pergunta";"0,0988269671797752";"http://dbpedia.org/resource/Protein";"protein";"1_81";"BIO";"8";"0"
