"idText";"tipo";"score";"uri";"surface";"idUsuario";"comunidade";"votosPositivos";"votosNegativos"
"1_10050";"texto_pergunta";"0,0618850067257881";"http://dbpedia.org/resource/Virus";"Virus";"1_4108";"BIO";"5";"0"
"1_10075";"texto_pergunta";"0,145777210593224";"http://dbpedia.org/resource/Virus";"Virus";"1_86";"BIO";"1";"1"
"1_10264";"texto_pergunta";"0,0928151458501816";"http://dbpedia.org/resource/Virus";"Virus";"1_806";"BIO";"2";"0"
"1_10264";"texto_pergunta";"0,0928151458501816";"http://dbpedia.org/resource/Virus";"Virus";"1_806";"BIO";"2";"0"
"1_10264";"texto_pergunta";"0,0928151458501816";"http://dbpedia.org/resource/Virus";"Virus";"1_806";"BIO";"2";"0"
"1_10853";"texto_pergunta";"0,173124611377716";"http://dbpedia.org/resource/Virus";"Virus";"1_3615";"BIO";"4";"1"
"1_11255";"texto_pergunta";"0,118561841547489";"http://dbpedia.org/resource/Virus";"Virus";"1_4108";"BIO";"1";"0"
"1_11255";"texto_pergunta";"0,118561841547489";"http://dbpedia.org/resource/Virus";"Virus";"1_4108";"BIO";"1";"0"
"1_11255";"texto_pergunta";"0,118561841547489";"http://dbpedia.org/resource/Virus";"Virus";"1_4108";"BIO";"1";"0"
"1_11255";"texto_pergunta";"0,128191918134689";"http://dbpedia.org/resource/Virus";"Virus";"1_4108";"BIO";"1";"0"
"1_15160";"titulo_pergunta";"0,176942825317383";"http://dbpedia.org/resource/Virus";"Virus";"1_4108";"BIO";"3";"0"
"1_15160";"texto_pergunta";"0,179384291172028";"http://dbpedia.org/resource/Virus";"Virus";"1_4108";"BIO";"3";"0"
"1_15160";"texto_pergunta";"0,179384291172028";"http://dbpedia.org/resource/Virus";"Virus";"1_4108";"BIO";"3";"0"
"1_15160";"texto_pergunta";"0,215792447328567";"http://dbpedia.org/resource/Virus";"Virus";"1_4108";"BIO";"3";"0"
"1_15160";"texto_pergunta";"0,179384291172028";"http://dbpedia.org/resource/Virus";"Virus";"1_4108";"BIO";"3";"0"
"1_15160";"texto_pergunta";"0,215792447328567";"http://dbpedia.org/resource/Virus";"Virus";"1_4108";"BIO";"3";"0"
"1_15160";"texto_pergunta";"0,215792447328567";"http://dbpedia.org/resource/Virus";"Virus";"1_4108";"BIO";"3";"0"
"1_15160";"texto_pergunta";"0,215792447328567";"http://dbpedia.org/resource/Virus";"Virus";"1_4108";"BIO";"3";"0"
"1_15688";"texto_pergunta";"0,113065451383591";"http://dbpedia.org/resource/Virus";"Virus";"1_28";"BIO";"1";"2"
"1_158";"texto_pergunta";"0,165809527039528";"http://dbpedia.org/resource/Virus";"Virus";"1_69";"BIO";"9";"0"
"1_158";"texto_pergunta";"0,165809527039528";"http://dbpedia.org/resource/Virus";"Virus";"1_69";"BIO";"9";"0"
"1_16166";"texto_pergunta";"0,0494454242289066";"http://dbpedia.org/resource/Virus";"Virus";"1_86";"BIO";"0";"0"
"1_8207";"texto_pergunta";"0,172755435109138";"http://dbpedia.org/resource/Virus";"Virus";"1_86";"BIO";"2";"0"
"1_9759";"titulo_pergunta";"0,167198717594147";"http://dbpedia.org/resource/Virus";"Virus";"1_3615";"BIO";"1";"0"
"1_10052";"texto_resposta";"0,100352458655834";"http://dbpedia.org/resource/Virus";"Virus";"1_4101";"BIO";"4";"0"
"1_10053";"texto_resposta";"0,0972125604748726";"http://dbpedia.org/resource/Virus";"Virus";"1_1306";"BIO";"6";"0"
"1_10053";"texto_resposta";"0,0972125604748726";"http://dbpedia.org/resource/Virus";"Virus";"1_1306";"BIO";"6";"0"
"1_10091";"texto_resposta";"0,166797325015068";"http://dbpedia.org/resource/Virus";"Virus";"1_4101";"BIO";"3";"0"
"1_10114";"texto_resposta";"0,143664970993996";"http://dbpedia.org/resource/Virus";"Virus";"1_1306";"BIO";"2";"0"
"1_10114";"texto_resposta";"0,143664970993996";"http://dbpedia.org/resource/Virus";"Virus";"1_1306";"BIO";"2";"0"
"1_10123";"texto_resposta";"0,0852134451270103";"http://dbpedia.org/resource/Virus";"Virus";"1_806";"BIO";"4";"0"
"1_10127";"texto_resposta";"0,157463267445564";"http://dbpedia.org/resource/Virus";"Virus";"1_4168";"BIO";"2";"0"
"1_10283";"texto_resposta";"0,146937906742096";"http://dbpedia.org/resource/Virus";"Virus";"1_3340";"BIO";"0";"0"
"1_10426";"texto_resposta";"0,0474747829139233";"http://dbpedia.org/resource/Virus";"Virus";"1_4101";"BIO";"2";"0"
"1_10426";"texto_resposta";"0,0474747829139233";"http://dbpedia.org/resource/Virus";"Virus";"1_4101";"BIO";"2";"0"
"1_10426";"texto_resposta";"0,0474747829139233";"http://dbpedia.org/resource/Virus";"Virus";"1_4101";"BIO";"2";"0"
"1_10426";"texto_resposta";"0,0474747829139233";"http://dbpedia.org/resource/Virus";"Virus";"1_4101";"BIO";"2";"0"
"1_10428";"texto_resposta";"0,0784103497862816";"http://dbpedia.org/resource/Virus";"Virus";"1_4168";"BIO";"2";"0"
"1_10435";"texto_resposta";"0,099835678935051";"http://dbpedia.org/resource/Virus";"Virus";"1_4101";"BIO";"1";"0"
"1_10483";"texto_resposta";"0,103980824351311";"http://dbpedia.org/resource/Virus";"Virus";"1_4101";"BIO";"5";"0"
"1_10639";"texto_resposta";"0,0947645008563995";"http://dbpedia.org/resource/Virus";"Virus";"1_806";"BIO";"3";"0"
"1_10639";"texto_resposta";"0,0947645008563995";"http://dbpedia.org/resource/Virus";"Virus";"1_806";"BIO";"3";"0"
"1_10639";"texto_resposta";"0,0947645008563995";"http://dbpedia.org/resource/Virus";"Virus";"1_806";"BIO";"3";"0"
"1_10639";"texto_resposta";"0,0947645008563995";"http://dbpedia.org/resource/Virus";"Virus";"1_806";"BIO";"3";"0"
"1_10767";"texto_resposta";"0,10535204410553";"http://dbpedia.org/resource/Virus";"Virus";"1_4101";"BIO";"3";"0"
"1_10913";"texto_resposta";"0,0989181473851204";"http://dbpedia.org/resource/Virus";"Virus";"1_4101";"BIO";"4";"0"
"1_10913";"texto_resposta";"0,0989181473851204";"http://dbpedia.org/resource/Virus";"Virus";"1_4101";"BIO";"4";"0"
"1_10913";"texto_resposta";"0,0989181473851204";"http://dbpedia.org/resource/Virus";"Virus";"1_4101";"BIO";"4";"0"
"1_11176";"texto_resposta";"0,0812165141105652";"http://dbpedia.org/resource/Virus";"Virus";"1_1231";"BIO";"6";"0"
"1_11176";"texto_resposta";"0,0812165141105652";"http://dbpedia.org/resource/Virus";"Virus";"1_1231";"BIO";"6";"0"
